,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
8210,INV-17408900014,02/07/2019,5490,Rockwell Area Market,202 4th St North,Rockwell,50469,POINT (-93.188172 42.986351000000006),17.0,CERRO GORD,1012100.0,Canadian Whiskies,260,DIAGEO AMERICAS,10808,Crown Royal Regal Apple,12,1000,18.89,28.34,4,113.36,4.0,1.05
8211,INV-17349700058,02/05/2019,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 Wilson Avenue West,Cedar Rapids,52404,POINT (-91.658577 41.955859),57.0,LINN,1051100.0,American Brandies,434,LUXCO INC,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,6,101.64,10.5,2.77
8212,INV-17430200128,02/08/2019,5259,Gameday Liquor,924 Locust St,Glenwood,51534,POINT (-95.916235 41.284951),65.0,MILLS,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75213,Kinky Blue,12,375,5.0,7.5,2,15.0,0.75,0.19
8213,INV-17431300002,02/08/2019,2228,Rodgers Spirits and More,53 Green St,Winterset,50273,POINT (-94.013374 41.336405),61.0,MADISON,1062200.0,White Rum,35,BACARDI USA INC,43387,Castillo Silver Rum,12,1000,4.89,7.34,12,88.08,12.0,3.17
8214,INV-17439100011,02/08/2019,4808,CB Quick Stop / Council Bluffs,"3500, Ave A",Council Bluffs,51501,POINT (-95.90271 41.26282),78.0,POTTAWATTA,1081600.0,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,30.0,45.0,10,450.0,30.0,7.92
8215,INV-17362100017,02/05/2019,2604,Hy-Vee Wine and Spirits / Lemars,1201 12th Ave SW,Lemars,51031,POINT (-96.18335000000002 42.778257),75.0,Plymouth,1022200.0,100% Agave Tequila,410,Patron Spirits Company,89626,Patron Reposado,12,750,28.5,42.75,3,128.25,2.25,0.59
8216,INV-17399400047,02/07/2019,3858,Harolds Jack N Jill / Davenport,6723 NW Blvd Unit 2,Davenport,52806,POINT (-90.609747 41.589369),82.0,SCOTT,1062500.0,Flavored Rum,65,Jim Beam Brands,44419,Cruzan Black Cherry,12,750,7.0,10.5,1,10.5,0.75,0.19
8217,INV-17370000080,02/06/2019,5068,Tobacco Shop / Arnolds Park,612 S Highway 71,Arnolds Park,51331,POINT (-95.14027400000002 43.361577),30.0,DICKINSON,1011600.0,Straight Rye Whiskies,260,DIAGEO AMERICAS,27025,Bulleit 95 Rye,12,750,16.0,24.0,1,24.0,0.75,0.19
8218,INV-17330700061,02/04/2019,2650,Hy-Vee Wine and Spirits / Harlan,1808 23rd St,Harlan,51537,POINT (-95.339881 41.650658),83.0,SHELBY,1062100.0,Gold Rum,461,Skyy Spirits Inc,43371,Appleton Signature Blend,12,750,10.5,15.75,2,31.5,1.5,0.39
8219,INV-17407200006,02/07/2019,5251,Northside Liquor,"1303, North Federal",Mason City,50401,POINT (-93.201061 43.163663),17.0,CERRO GORD,1701100.0,Temporary & Specialty Packages,368,Park Street Imports,100626,Stillhouse Spiced Cherry Whiskey w/Pour Spout & 2 Shot Cups,6,750,11.5,17.25,2,34.5,1.5,0.39
8220,INV-17479200049,02/11/2019,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503,POINT (-95.825137 41.242732),78.0,POTTAWATTA,1011200.0,Straight Bourbon Whiskies,434,LUXCO INC,18198,Ezra Brooks Sour Mash Bourbon,6,1750,15.0,22.5,6,135.0,10.5,2.77
8221,INV-17523600079,02/13/2019,2501,Hy-Vee  #2 / Ames,640 Lincolnway,Ames,50010,POINT (-93.619455 42.022848),85.0,STORY,1031100.0,American Vodkas,260,DIAGEO AMERICAS,37993,Smirnoff 80prf,48,200,2.54,3.81,8,30.48,1.6,0.42
8222,INV-17537900003,02/13/2019,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804,,82.0,SCOTT,1062200.0,White Rum,35,BACARDI USA INC,43127,Bacardi Superior,12,1000,9.5,14.25,36,513.0,36.0,9.51
8223,INV-17522400002,02/13/2019,5279,Casey's General Store # 2560/ Ames,3020 Duff Ave,Ames,50010,POINT (-93.618576 42.05119),85.0,STORY,1062400.0,Spiced Rum,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04,9.0,2.37
8224,INV-17498900008,02/12/2019,3625,Wal-Mart 0892 / Ankeny,1002 SE National Dr,Ankeny,50021,POINT (-93.582348 41.70486400000001),77.0,POLK,1011100.0,Blended Whiskies,260,DIAGEO AMERICAS,27554,Seagrams 7 Crown Dark Honey,12,750,7.0,10.5,12,126.0,9.0,2.37
8225,INV-17543000013,02/13/2019,4558,Kum & Go #226 / Sioux City,1373 Pierce St,Sioux City,51105,POINT (-96.405013 42.504732),97.0,WOODBURY,1082000.0,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65254,Jagermeister Liqueur,24,375,6.52,9.78,4,39.12,1.5,0.39
8226,INV-17477300032,02/11/2019,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14th St,Des Moines,50315,,77.0,POLK,1031100.0,American Vodkas,434,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,12,60.12,9.0,2.37
8227,INV-17462700011,02/11/2019,4296,Circle B Market,111 Main St,Keosauqua,52565,POINT (-91.962466 40.7294),89.0,VAN BUREN,1082200.0,Imported Schnapps,421,SAZERAC COMPANY  INC,69711,Dr McGillicuddys Wild Grape,12,750,8.66,12.99,2,25.98,1.5,0.39
8228,INV-17479200057,02/11/2019,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503,POINT (-95.825137 41.242732),78.0,POTTAWATTA,1062200.0,White Rum,35,BACARDI USA INC,43128,Bacardi Superior,6,1750,15.0,22.5,6,135.0,10.5,2.77
8229,INV-17470700113,02/11/2019,2573,Hy-Vee Food Store / Muscatine,2400 2nd Ave,Muscatine,52761,POINT (-91.035138 41.451349),70.0,MUSCATINE,1031200.0,American Flavored Vodka,380,Phillips Beverage,41705,UV Red Cherry,12,1000,7.5,11.25,3,33.75,3.0,0.79
8230,INV-17524500056,02/13/2019,3943,Good and Quick Co,519 Lincolnway,Nevada,50201,POINT (-93.464816 42.022781),85.0,STORY,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75212,Kinky Blue Mini,6,500,4.84,7.26,2,14.52,1.0,0.26
8231,INV-17501400021,02/12/2019,4678,Fareway Stores #124 / Adel,804 Nile Kinnick Dr,Adel,50003,POINT (-94.01679600000001 41.61025),25.0,DALLAS,1031100.0,American Vodkas,229,DEHNER DISTILLERY,36873,Blue Ox Vodka,12,750,3.0,4.5,12,54.0,9.0,2.37
8232,INV-17571000045,02/14/2019,2595,Hy-Vee Wine and Spirits / Denison,"1620  4th Ave, South",Denison,51442,POINT (-95.348601 42.012395),24.0,CRAWFORD,1012400.0,Irish Whiskies,370,PERNOD RICARD USA,15667,Jameson Black Barrel,12,750,20.98,31.47,1,31.47,0.75,0.19
8233,INV-17499600012,02/12/2019,4131,Fareway Stores #933 / Urbandale,8450 Meredith Dr,Urbandale,50322,POINT (-93.734312 41.643829),77.0,POLK,1011200.0,Straight Bourbon Whiskies,65,Jim Beam Brands,19476,Makers Mark,12,750,17.5,26.25,3,78.75,2.25,0.59
