,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
0,S20970100001,09/02/2014,4337,Grand Falls Casino Resort,1415 GRAND FALLS BLVD,LARCHWOOD,51241,,60.0,Lyon,1031080.0,VODKA 80 PROOF,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56,21.0,5.55
1,S07822900020,09/19/2012,3735,C B Liquor,1202 A AVE EAST,OSKALOOSA,52577,POINT (-92.631487 41.296286),10.0,Buchanan,1031080.0,VODKA 80 PROOF,297,Laird And Company,35914,Five O'clock Vodka,24,375,1.84,2.75,24,66.0,9.0,2.38
2,S20951700022,08/29/2014,4000,Foodland Super Markets / Woodbine,5TH AND LINCOLN WAY,WOODBINE,51579,,43.0,Harrison,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67571,Kahlua Mocha Liqueur,12,750,11.99,17.99,1,17.99,0.75,0.2
3,S21936900024,10/22/2014,3986,Siouxland Beverage,1203 5 ST,SIOUX CITY,51101,POINT (-96.394671 42.495324),97.0,Woodbury,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,9.45,14.68,6,88.08,10.5,2.77
4,S27955400035,09/16/2015,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57.0,Linn,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69657,Dr. Mcgillicuddy's Mentholmint,12,1000,11.0,16.5,12,198.0,12.0,3.17
5,S27832600012,09/10/2015,5102,Wilkie Liquors,"724, 1st  ST  SE",MOUNT VERNON,52314,POINT (-91.410401 41.918328),57.0,Linn,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19067,Jim Beam,12,1000,12.59,18.89,24,453.36,24.0,6.34
6,S16998800038,01/23/2014,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57.0,Linn,1032080.0,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34008,Absolut Swedish Vodka 80 Prf,6,1750,20.0,29.99,6,179.94,10.5,2.77
7,S12556700050,06/04/2013,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,POINT (-90.609747 41.589369),82.0,Scott,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,10836,Crown Royal Black,12,750,17.0,25.49,2,50.98,1.5,0.4
8,S14621100006,09/17/2013,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94.0,Webster,1031080.0,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.79,12,129.48,21.0,5.55
9,S07928600078,09/25/2012,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),9.0,Bremer,1081390.0,IMPORTED SCHNAPPS,260,Diageo Americas,69947,Rumple Minze Peppermint Schnapps Liqueur,12,1000,15.15,22.72,2,45.44,2.0,0.53
10,S27019700005,07/28/2015,3849,Hartig Drug Co #6 / Dyersville,711  16TH AVE SE,DYERSVILLE,52040,POINT (-91.116087 42.470285),31.0,Dubuque,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,9.06,13.59,1,13.59,0.5,0.13
11,S16798100051,01/13/2014,3465,Hometown Foods / Panora,601 E MAIN,PANORA,50216,POINT (-94.357201 41.69182),39.0,Guthrie,1022100.0,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.73,4,62.92,3.0,0.79
12,S14665800025,09/19/2013,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,POINT (-92.455796 42.517182),7.0,Black Hawk,1032200.0,IMPORTED VODKA - MISC,395,Proximo,35469,Three Olives Bubble Vodka,12,750,11.16,16.74,12,200.88,9.0,2.38
13,S26014200035,06/04/2015,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,POINT (-90.525525 41.580212),82.0,Scott,1071100.0,AMERICAN COCKTAILS,35,"Bacardi U.S.A., Inc.",57092,Bacardi Classic Cocktails Strawberry Daiquiri,6,1750,10.0,15.0,6,90.0,10.5,2.77
14,S06986100069,08/07/2012,2549,Hy-Vee Food Store / Indianola,910 N JEFFERSON,INDIANOLA,50125,,91.0,Warren,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,65,Jim Beam Brands,73533,Dekuyper 03,12,750,12.07,18.1,6,108.6,4.5,1.19
15,S29121800097,11/17/2015,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,POINT (-95.385111 40.761736),73.0,Page,1041100.0,AMERICAN DRY GINS,434,Luxco-St Louis,31654,Paramount Gin,24,375,1.99,2.99,4,11.96,1.5,0.4
16,S16346100035,12/18/2013,3986,Siouxland Beverage,1203 5 ST,SIOUX CITY,51101,POINT (-96.394671 42.495324),97.0,Woodbury,1012210.0,SINGLE MALT SCOTCH,370,Pernod Ricard USA/Austin Nichols,5036,Glenlivet 12 Yr Malt Scotch,12,750,22.07,33.11,1,33.11,0.75,0.2
17,S16364600104,12/18/2013,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,POINT (-93.10564100000002 41.320746),63.0,Marion,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69656,Dr. Mcgillicuddy's Mentholmint,12,750,8.67,13.01,2,26.02,1.5,0.4
18,S26446400064,06/26/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POINT (-93.73162 41.571127),77.0,Polk,1031100.0,100 PROOF VODKA,434,Luxco-St Louis,36301,Hawkeye Vodka 80 Prf Mini,12,500,3.73,5.6,12,67.2,6.0,1.59
19,S19963300056,07/07/2014,4617,Lickety Liquor,2501 HUBBELL AVE,DES MOINES,50317,POINT (-93.570489 41.607817),77.0,Polk,1062300.0,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42699,Malibu Mango Rum,12,750,7.5,11.24,1,11.24,0.75,0.2
20,S22582700035,11/24/2014,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53.0,Jones,1012100.0,CANADIAN WHISKIES,85,Brown-Forman Corporation,12467,Canadian Mist Whisky,12,1000,6.71,10.07,1,10.07,1.0,0.26
21,S27125200055,08/04/2015,2597,Hy-Vee Food Store / Cherokee,1300 N. SECOND,CHEROKEE,51012,POINT (-95.552585 42.765259),18.0,Cherokee,1031200.0,VODKA FLAVORED,260,Diageo Americas,41116,Jeremiah Weed Peach Sweet Tea,12,750,9.65,14.48,3,43.44,2.25,0.59
22,S26579700014,07/06/2015,4549,Casey's General Store #2913 / Colo,702 US HWY 65,COLO,50056,POINT (-93.309393 42.014866),85.0,Story,1071100.0,AMERICAN COCKTAILS,395,Proximo,58835,Jose Cuervo Authentic Lime Margarita,6,800,4.62,6.93,6,41.58,4.8,1.27
23,S16261300023,12/12/2013,2549,Hy-Vee Food Store / Indianola,910 N JEFFERSON,INDIANOLA,50125,,91.0,Warren,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64865,Fireball Cinnamon Whiskey PET,12,750,8.67,13.01,24,312.24,18.0,4.76
24,S27417600004,08/20/2015,4893,Casey's General Store #3098 / WDM,105 GRAND AVE,WEST DES MOINES,50265,POINT (-93.70379 41.582697),77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,6,94.44,4.5,1.19
25,S28610900001,10/21/2015,3928,Smokin' Joe's #12 Tobacco and Liquor,465 HWY 965 UNIT G,NORTH LIBERTY,52317,POINT (-91.60759 41.739524),52.0,Johnson,1032200.0,IMPORTED VODKA - MISC,260,Diageo Americas,64762,Ciroc Red Berry,12,375,9.25,13.88,2,27.76,0.75,0.2
26,S22585100011,11/24/2014,5004,Ida Grove Food Pride,200 SUSAN LAWRENCE DR,IDA GROVE,51445,,47.0,Ida,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19066,Jim Beam,12,750,10.49,15.74,12,188.88,9.0,2.38
27,S23299500128,01/05/2015,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56.0,Lee,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24453,Kessler Blend Whiskey,48,200,1.77,2.66,6,15.96,1.2,0.32
28,S06757800042,07/25/2012,3621,"Jensen Liquors, Ltd.",615  2ND AVE,SHELDON,51201,POINT (-95.854899 43.184242),71.0,O'Brien,1081200.0,CREAM LIQUEURS,300,Mccormick Distilling Company,65204,Tequila Rose Liqueur Mini,6,500,6.63,9.95,1,9.95,0.5,0.13
29,S04462800010,03/08/2012,3540,Super Target T-0533 / Davenport,5225 ELMORE AVE,DAVENPORT,52807,POINT (-90.528585 41.573196),82.0,Scott,1081010.0,AMERICAN AMARETTO,55,Sazerac North America,73986,Di Amore Amaretto,12,750,6.0,8.99,12,107.88,9.0,2.38
30,S21149500026,09/10/2014,4108,Oasis Grocery and Liquor /,2917 PAYNE,DES MOINES,50310,POINT (-93.658311 41.620075),77.0,Polk,1031080.0,VODKA 80 PROOF,380,Phillips Beverage Company,37348,Phillips Vodka,6,1750,7.6,11.4,6,68.4,10.5,2.77
31,S28565900098,10/20/2015,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,POINT (-90.741064 42.516633),31.0,Dubuque,1081330.0,PEACH SCHNAPPS,434,Luxco-St Louis,82126,Arrow Peach Schnapps,12,750,4.34,6.51,12,78.12,9.0,2.38
32,S28023900157,09/21/2015,2613,Hy-Vee Food Store #1 / Council Bluff,2323 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.879662 41.261925),78.0,Pottawattamie,1031080.0,VODKA 80 PROOF,55,Sazerac North America,37934,Skol Vodka,24,375,1.74,2.61,4,10.44,1.5,0.4
33,S12363100028,05/22/2013,4346,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,POINT (-91.869285 42.094155),6.0,Benton,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.0,15.0,2,30.0,1.5,0.4
34,S19006600035,05/19/2014,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44.0,Henry,1051010.0,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52598,E & J Vs,6,1750,11.83,17.75,6,106.5,10.5,2.77
35,S25090100041,04/16/2015,3054,Mcnally's Super Valu,1026 MAIN,GRINNELL,50112,,79.0,Poweshiek,1062310.0,SPICED RUM,260,Diageo Americas,43331,Captain Morgan Spiced Rum Mini,12,500,5.5,8.25,1,8.25,0.5,0.13
36,S06059100019,06/13/2012,3726,Wal-Mart 1285 / Ottumwa,1940 VENTURE DR,OTTUMWA,52501,POINT (-92.456896 41.01455),90.0,Wapello,1012100.0,CANADIAN WHISKIES,434,Luxco-St Louis,13038,Canadian Reserve Whisky,6,1750,8.77,13.16,6,78.96,10.5,2.77
37,S28465800015,10/21/2015,2559,Hy-Vee Food Store / Albia,301 HWY. 34 WEST,ALBIA,52531,POINT (-92.810772 41.015469),68.0,Monroe,1081240.0,GREEN CREME DE MENTHE,434,Luxco-St Louis,79336,Paramount Creme De Menthe/green,12,750,4.75,7.13,2,14.26,1.5,0.4
38,S17275800089,02/06/2014,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77.0,Polk,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26824,Jack Daniels Old #7 Black Lbl Square,24,375,6.54,9.81,4,39.24,1.5,0.4
39,S05960700001,06/11/2012,4430,Kum & Go #87 / Fort Dodge,1601 FIFTH AVENUE S,FORT DODGE,50501,POINT (-94.175805 42.501112),94.0,Webster,1031080.0,VODKA 80 PROOF,306,Mississippi River Distilling Co.,37642,River Pilot Vodka,6,750,12.81,19.21,6,115.26,4.5,1.19
40,S28943500093,11/09/2015,2584,Hy-Vee Food Store / Fort Madison,2606 AVENUE L,FORT MADISON,52627,POINT (-91.343544 40.626988),56.0,Lee,1032080.0,IMPORTED VODKA,65,Jim Beam Brands,34188,Effen Vodka,6,750,14.17,21.26,1,21.26,0.75,0.2
41,S14571200001,09/16/2013,3587,Save A Lot  #482,2122 MAIN ST,KEOKUK,52632,POINT (-91.39688800000002 40.408821),56.0,Lee,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,259,Heaven Hill Brands,65195,Hpnotiq,6,750,9.83,14.74,6,88.44,4.5,1.19
42,S25047700180,04/13/2015,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT (-93.773557 41.561197),77.0,Polk,1011100.0,BLENDED WHISKIES,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,11.02,16.53,6,99.18,10.5,2.77
43,S07073800011,08/13/2012,3690,Target Store T-1792 / Waterloo,1501 E SAN MARNAN,WATERLOO,50702,POINT (-92.325387 42.464521),7.0,Black Hawk,1051010.0,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52316,Christian Bros Brandy,12,750,5.51,8.26,12,99.12,9.0,2.38
44,S26417000012,06/25/2015,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17.0,Cerro Gordo,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,12,1000,18.38,27.57,24,661.68,24.0,6.34
45,S24195000004,02/24/2015,4176,Todds On The Go,235 EDGEWOOD RD NE,CEDAR RAPIDS,52405,,57.0,Linn,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75208,Kinky Liqueur Mini,6,500,7.47,11.21,1,11.21,0.5,0.13
46,S11767000019,04/22/2013,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43037,Bacardi Gold Rum,12,1000,9.43,14.14,12,169.68,12.0,3.17
47,S07555600018,09/06/2012,4666,Super Stop II / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,POINT (-93.494642 41.65854),77.0,Polk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,357,"Palm Bay Imports, Inc.",66107,OR-G,6,750,12.5,18.74,3,56.22,2.25,0.59
48,S11336300002,03/28/2013,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82.0,Scott,1012200.0,SCOTCH WHISKIES,260,Diageo Americas,10009,Scoresby Rare Scotch,12,1000,6.15,9.23,12,110.76,12.0,3.17
49,S25981700007,06/02/2015,4901,Fareway Stores #137 / Polk City,1101 S 5TH ST,POLK CITY,50226,POINT (-93.719323 41.763876),77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,259,Heaven Hill Brands,17958,Evan Williams Yr Str Bourbon,6,1750,13.71,21.19,6,127.14,10.5,2.77
50,S03714000034,01/24/2012,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,POINT (-90.659692 42.06922000000001),49.0,Jackson,1011200.0,STRAIGHT BOURBON WHISKIES,55,Sazerac North America,21598,Ten High,6,1750,9.09,13.64,1,13.64,1.75,0.46
51,S10700000012,02/20/2013,4557,Hometown Foods / Traer,420 SECOND ST,TRAER,50675,POINT (-92.468086 42.193386),86.0,Tama,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81207,Paramount Peppermint Schnapps,12,1000,4.05,6.08,2,12.16,2.0,0.53
52,S15690500140,11/13/2013,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52.0,Johnson,1062310.0,SPICED RUM,259,Heaven Hill Brands,43024,Admiral Nelson Spiced Rum,24,375,2.74,4.11,1,4.11,0.38,0.1
53,S05215300010,04/25/2012,4346,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,POINT (-91.869285 42.094155),6.0,Benton,1081010.0,AMERICAN AMARETTO,434,Luxco-St Louis,76487,Paramount Amaretto,12,1000,4.04,6.06,1,6.06,1.0,0.26
54,S19087600043,05/21/2014,3584,L and M Beverage,1011 S FREDERICK M/A PO BX 572,OELWEIN,50662,,33.0,Fayette,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41692,Uv Blue (raspberry) Vodka,6,1750,7.99,13.49,12,161.88,21.0,5.55
55,S27439000014,08/20/2015,4642,Liquor and Tobacco Outlet / Univ Ave,2844 UNIVERSITY AVE,WATERLOO,50701,POINT (-92.382928 42.498321),7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11366,Crown Royal Special Reserve,12,750,25.0,37.5,1,37.5,0.75,0.2
56,S21074200010,09/08/2014,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707,POINT (-92.287834 42.475631),7.0,Black Hawk,1081600.0,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86886,Southern Comfort,12,750,9.85,14.78,4,59.12,3.0,0.79
57,S28585900081,10/21/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67.0,Monona,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,12,1000,18.38,27.57,1,27.57,1.0,0.26
58,S25049000021,04/14/2015,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31.0,Dubuque,1031080.0,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.9,10.35,12,124.2,9.0,2.38
59,S24438200100,03/10/2015,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53.0,Jones,1081300.0,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,80577,Arrow Peppermint Schnapps,12,1000,3.84,5.76,1,5.76,1.0,0.26
60,S27296900055,08/12/2015,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,POINT (-91.518868 41.676095),52.0,Johnson,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,434,Luxco-St Louis,85606,Paramount Blue Curacao,12,750,4.75,7.13,5,35.65,3.75,0.99
61,S11423100043,04/02/2013,3162,Nash Finch / Wholesale Food,807 GRANDVIEW,MUSCATINE,52761,POINT (-91.06411300000002 41.408437),70.0,Muscatine,1081330.0,PEACH SCHNAPPS,65,Jim Beam Brands,82847,Dekuyper Peachtree,12,1000,7.62,11.43,1,11.43,1.0,0.26
62,S03586600022,01/16/2012,4219,Lake Liquors Wine and Spirits,910 N 8TH ST W,CLEAR LAKE,50428,POINT (-93.396651 43.142775),17.0,Cerro Gordo,1032080.0,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,6,1000,21.77,32.66,6,195.96,6.0,1.59
63,S15819600009,11/19/2013,4177,"Good Luck, Inc.",806 W MAIN ST,LE GRAND,50142,POINT (-92.78465400000002 42.006665),64.0,Marshall,1081330.0,PEACH SCHNAPPS,434,Luxco-St Louis,82126,Arrow Peach Schnapps,12,750,4.09,6.14,3,18.42,2.25,0.59
64,S18772100020,05/06/2014,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,POINT (-92.106529 43.371131),45.0,Howard,1081340.0,ROOT BEER SCHNAPPS,65,Jim Beam Brands,82827,Dekuyper Rootbeer,12,1000,7.62,11.43,12,137.16,12.0,3.17
65,S17960600049,03/18/2014,2619,Hy-Vee Wine and Spirits / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT (-93.808855 41.598515),77.0,Polk,1031200.0,VODKA FLAVORED,380,Phillips Beverage Company,41625,Uv Grape Vodka,6,1750,10.14,15.46,6,92.76,10.5,2.77
66,S25492100036,05/06/2015,2178,"Double ""D"" Liquor Store",618 ROSSVILLE ROAD,WAUKON,52172,POINT (-91.473634 43.262114),3.0,Allamakee,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11294,Crown Royal Canadian Whisky,24,375,7.75,11.63,2,23.26,0.75,0.2
67,S07847400050,09/20/2012,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,POINT (-92.455796 42.517182),7.0,Black Hawk,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69636,Dr. Mcgillicuddy's Cherry Schnapps,12,750,8.66,12.99,12,155.88,9.0,2.38
68,S08737500026,11/05/2012,3763,Main Street Liquors / Hawarden,911 CENTRAL AVE,HAWARDEN,51023,POINT (-96.48518900000002 42.996100000000006),84.0,Sioux,1022100.0,TEQUILA,35,"Bacardi U.S.A., Inc.",89099,Cazadores Anejo,6,750,23.47,35.21,2,70.42,1.5,0.4
69,S09885000001,01/07/2013,4221,Kwik Stop / Texas St,4335 TEXAS ST,WATERLOO,50702,POINT (-92.306998 42.453042),7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11774,Black Velvet,24,375,3.07,4.6,24,110.4,9.0,2.38
70,S23973000004,02/11/2015,3726,Wal-Mart 1285 / Ottumwa,1940 VENTURE DR,OTTUMWA,52501,POINT (-92.456896 41.01455),90.0,Wapello,1012100.0,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,1750,7.94,12.51,6,75.06,10.5,2.77
71,S12554000031,06/03/2013,3819,Quillins Decorah,915 SHORT ST,DECORAH,52101,POINT (-91.79777100000001 43.291023),96.0,Winneshiek,1081200.0,CREAM LIQUEURS,260,Diageo Americas,68043,Bailey's Coffee Irish Cream,12,750,13.0,19.49,1,19.49,0.75,0.2
72,S16966200009,01/21/2014,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77.0,Polk,1031080.0,VODKA 80 PROOF,300,Mccormick Distilling Company,36904,Mccormick Vodka Pet,24,375,1.8,2.69,24,64.56,9.0,2.38
73,S09321500039,12/05/2012,4593,The Cue Liquors,1404 MAIN ST,ROCK VALLEY,51247,POINT (-96.294873 43.204363),84.0,Sioux,1011100.0,BLENDED WHISKIES,260,Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,12,1000,7.5,11.24,3,33.72,3.0,0.79
74,S26429400113,06/26/2015,3612,B and C Liquor / Maquoketa,509 E PLATT,MAQUOKETA,52060,POINT (-90.659692 42.06922000000001),49.0,Jackson,1031080.0,VODKA 80 PROOF,260,Diageo Americas,37416,Popov Vodka 80 Prf,12,750,4.5,6.75,2,13.5,1.5,0.4
75,S11333400096,03/27/2013,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,POINT (-95.899346 41.557404),43.0,Harrison,1031080.0,VODKA 80 PROOF,421,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,6.92,10.38,2,20.76,3.5,0.92
76,S06373900004,07/03/2012,4184,Fareway Stores #998 / Muscatine,2100 CEDAR PLAZA DR,MUSCATINE,52761,POINT (-91.08192400000001 41.435264),70.0,Muscatine,1031080.0,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.13,10.7,12,128.4,21.0,5.55
77,S23009300078,12/17/2014,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,POINT (-93.876107 42.063831),8.0,Boone,1081200.0,CREAM LIQUEURS,260,Diageo Americas,68031,Bailey's Original Irish Cream Minis,4,1000,25.25,37.88,1,37.88,1.0,0.26
78,S18278400001,04/07/2014,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57.0,Linn,1011200.0,STRAIGHT BOURBON WHISKIES,260,Diageo Americas,17086,Bulleit Bourbon,12,750,16.0,24.0,36,864.0,27.0,7.13
79,S21115100027,09/09/2014,2327,West Side Spirits,801 HULL ST,CORNING,50841,POINT (-94.74369200000001 40.990378),2.0,Adams,1031080.0,VODKA 80 PROOF,301,Fifth Generation Inc.,38177,Titos Handmade Vodka,12,1000,11.92,17.88,1,17.88,1.0,0.26
80,S19537500024,06/18/2014,4568,Select Mart   Floyd Blvd,4103 FLOYD BLVD,SIOUX CITY,51108,POINT (-96.358413 42.54202),97.0,Woodbury,1062310.0,SPICED RUM,260,Diageo Americas,43331,Captain Morgan Spiced Rum Mini,12,500,5.5,8.25,12,99.0,6.0,1.59
81,S26974300015,07/27/2015,4644,Kwik Shop #588 / Davenport,"1136, E LOCUST ST",DAVENPORT,52803,POINT (-90.55865800000001 41.538288),82.0,Scott,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,11299,Crown Royal,44,200,4.72,7.08,12,84.96,2.4,0.63
82,S11251700009,03/25/2013,4024,Wal-Mart 1546 / Iowa Falls,840 S OAK,IOWA FALLS,50126,POINT (-93.262446 42.503407),42.0,Hardin,1032080.0,IMPORTED VODKA,115,"Constellation Wine Company, Inc.",34820,Svedka Vodka,12,750,7.97,11.95,12,143.4,9.0,2.38
83,S17776200002,03/10/2014,3910,Riverside Casino And Resort,3184 HIGHWAY 22,RIVERSIDE,52327,POINT (-91.531499 41.496387000000006),92.0,Washington,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,20248,Old Crow,6,1750,8.92,13.38,6,80.28,10.5,2.77
84,S22490100015,11/19/2014,3896,Smokin' Joe's #18 Tobacco and Liquor,1901 BROADWAY ST,IOWA CITY,52240,POINT (-91.520308 41.641383),52.0,Johnson,1032200.0,IMPORTED VODKA - MISC,260,Diageo Americas,64746,Ciroc Coconut,24,200,5.0,7.5,4,30.0,0.8,0.21
85,S25421600007,05/04/2015,4126,Sam's Mainstreet Market / Solon,123 E MAIN ST,SOLON,52333,POINT (-91.494611 41.807199),52.0,Johnson,1062300.0,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42717,Malibu Coconut Rum,12,1000,10.49,15.74,12,188.88,12.0,3.17
86,S27821200044,09/09/2015,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,POINT (-92.899277 41.396961000000005),63.0,Marion,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,85,Brown-Forman Corporation,64676,Chambord Liqueur Royale De France,12,750,18.56,27.84,12,334.08,9.0,2.38
87,S20542300028,08/07/2014,2130,Sycamore Convenience,617 SYCAMORE,WATERLOO,50703,POINT (-92.335358 42.497854),7.0,Black Hawk,1031080.0,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.5,2.77
88,S28680700147,10/27/2015,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31.0,Dubuque,1051010.0,AMERICAN GRAPE BRANDIES,259,Heaven Hill Brands,52312,Christian Bros Brandy,24,200,1.96,2.94,4,11.76,0.8,0.21
