County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Fremont,2011-2015,"6,880",48,21,18,45,26,0,13,0,13,60,49,100,27
Greene,2016-2020,"8,540",88,33,28,13,22,47,18,0,14,72,51,218,77
Greene,2011-2015,"8,982",4,5,5,4,5,40,17,3,6,0,13,140,19
Grundy,2016-2020,"11,992",24,85,52,9,12,40,15,0,16,0,16,136,62
Grundy,2011-2015,"12,196",29,51,31,16,17,47,7,0,15,13,14,84,34
Guthrie,2016-2020,"10,287",50,26,27,14,14,27,10,0,16,103,51,245,47
Guthrie,2011-2015,"10,495",30,81,44,12,8,16,22,25,35,49,29,62,18
Hamilton,2016-2020,"13,890",119,184,26,26,31,405,73,40,64,93,81,267,90
Hamilton,2011-2015,"14,326",170,102,48,0,15,342,53,0,15,357,170,170,78
Hancock,2016-2020,"10,241",82,143,62,30,18,41,42,0,16,114,68,140,64
Hancock,2011-2015,"10,769",36,72,40,14,21,34,15,8,11,45,33,150,50
Hardin,2016-2020,"16,007",99,225,78,102,46,64,57,19,29,113,89,394,125
Hardin,2011-2015,"16,659",117,178,69,48,45,167,91,0,15,171,106,170,92
Harrison,2016-2020,"13,666",37,41,32,34,29,37,24,19,24,16,15,230,59
Harrison,2011-2015,"14,125",38,8,9,58,25,39,8,4,6,34,25,199,41
Henry,2016-2020,"18,091",176,446,62,68,65,545,71,9,13,156,101,574,160
Henry,2011-2015,"18,471",185,478,87,56,26,437,109,0,15,239,179,399,138
Howard,2016-2020,"8,965",61,33,20,1,2,48,36,2,4,1,3,151,70
Howard,2011-2015,"9,328",2,31,38,1,3,21,26,0,13,10,13,103,52
Humboldt,2016-2020,"9,146",76,26,21,13,22,79,59,0,14,50,40,204,89
Humboldt,2011-2015,"9,477",28,13,13,7,9,23,18,0,13,20,29,134,27
Ida,2016-2020,"6,634",40,114,32,5,7,5,8,0,14,44,33,60,30
Ida,2011-2015,"6,913",26,39,40,34,32,24,11,0,13,20,21,41,29
Iowa,2016-2020,"15,508",171,89,66,4,10,61,52,0,16,56,51,437,181
Iowa,2011-2015,"16,010",60,137,51,7,9,31,35,11,17,23,33,125,56
Jackson,2016-2020,"18,675",52,138,106,3,5,82,26,106,150,43,50,301,149
Jackson,2011-2015,"19,044",16,35,33,13,14,79,28,117,6,10,12,274,47
Jasper,2016-2020,"35,237",105,555,163,86,40,211,84,0,21,99,57,844,219
Jasper,2011-2015,"35,318",102,542,89,106,63,211,77,14,17,51,47,484,163
Jefferson,2016-2020,"15,206",54,432,130,8,17,"2,037",316,0,16,103,67,367,353
Jefferson,2011-2015,"14,744",189,246,110,14,23,"1,372",296,0,15,367,252,575,302
Johnson,2016-2020,"121,694",739,"11,509",584,271,97,"9,346",440,74,42,"2,510",553,"5,415",693
Johnson,2011-2015,"117,331",613,"7,596",319,309,144,"8,327",275,202,176,"2,717",681,"2,954",473
Jones,2016-2020,"19,442",167,453,178,37,31,183,192,0,18,0,18,460,196
Jones,2011-2015,"19,658",72,394,85,176,97,84,27,0,17,75,62,173,111
Keokuk,2016-2020,"9,882",35,40,25,9,9,12,13,2,3,77,32,141,25
Keokuk,2011-2015,"10,066",33,0,15,27,28,22,19,1,3,49,32,126,41
Kossuth,2016-2020,"14,308",72,174,44,23,13,89,21,1,3,67,45,202,81
Kossuth,2011-2015,"14,925",42,57,33,13,11,60,16,0,15,54,36,171,43
Lee,2016-2020,"31,637",141,"1,015",128,92,42,216,88,6,9,141,88,839,194
Lee,2011-2015,"33,033",139,"1,068",122,35,40,180,59,0,20,204,123,849,164
Linn,2016-2020,"197,384",693,"12,595",790,429,236,"5,114",353,352,41,"1,429",519,"8,298",930
Linn,2011-2015,"194,427",477,"9,147",560,527,164,"4,303",351,33,30,"2,034",499,"6,169",837
Louisa,2016-2020,"9,739",172,134,28,26,22,389,89,0,16,612,167,225,115
Louisa,2011-2015,"10,398",130,103,36,26,27,286,33,11,14,380,133,67,40
Lucas,2016-2020,"8,398",69,24,28,4,6,0,14,0,14,23,36,107,61
Lucas,2011-2015,"8,535",27,20,21,22,26,30,42,0,13,0,13,124,51
Lyon,2016-2020,"11,340",59,12,11,40,27,47,12,33,27,124,54,204,67
Lyon,2011-2015,"11,410",41,7,8,67,48,38,17,2,4,96,51,103,32
Madison,2016-2020,"15,656",46,90,52,35,43,157,68,0,16,7,12,203,93
Madison,2011-2015,"15,242",65,91,38,13,15,157,48,11,15,32,40,98,59
Mahaska,2016-2020,"21,069",93,356,95,28,24,287,84,50,66,126,94,435,104
Mahaska,2011-2015,"21,380",87,310,53,47,39,254,47,8,15,98,66,299,90
Marion,2016-2020,"31,719",140,350,75,59,22,343,97,11,18,127,92,584,153
Marion,2011-2015,"32,015",118,182,59,58,51,348,112,0,20,139,97,506,126
Marshall,2016-2020,"33,619",741,482,198,87,71,"1,475",88,15,21,"2,437",725,"1,689",529
Marshall,2011-2015,"34,575",680,709,171,145,91,"1,183",60,0,20,"3,666",689,684,289
Mills,2016-2020,"14,483",79,72,53,86,52,58,20,0,16,101,64,223,52
Mills,2011-2015,"14,496",9,107,32,61,61,12,13,0,15,6,9,180,64
Mitchell,2016-2020,"10,362",26,47,32,28,28,44,23,0,16,22,20,85,46
Mitchell,2011-2015,"10,633",77,15,18,2,4,10,8,0,15,12,12,90,82
Monona,2016-2020,"8,314",21,28,36,111,88,0,14,36,55,5,7,181,89
Monona,2011-2015,"8,826",7,49,62,117,103,11,17,0,13,6,7,79,55
Monroe,2016-2020,"7,476",98,2,4,0,14,22,31,0,14,1,2,260,87
Monroe,2011-2015,"7,587",113,11,11,2,4,45,69,0,13,129,128,228,124
Montgomery,2016-2020,"9,615",105,15,27,116,104,9,15,0,16,29,37,232,62
Montgomery,2011-2015,"10,032",85,0,15,19,26,3,7,0,15,136,83,275,78
Muscatine,2016-2020,"37,967",425,"1,011",149,109,90,379,65,12,23,"1,576",364,"1,649",316
Muscatine,2011-2015,"39,454",487,664,161,104,88,533,24,25,38,"1,028",408,"1,105",431
O'Brien,2016-2020,"13,034",147,245,53,29,27,114,16,4,7,167,100,203,97
