County,Income,Families,Families ME,Year
Fayette,"$10,000 to $14,999",76,34,2016-2020
Fayette,"$15,000 to $19,999",131,59,2016-2020
Fayette,"$20,000 to $24,999",118,58,2016-2020
Fayette,"$25,000 to $29,999",249,106,2016-2020
Fayette,"$30,000 to $34,999",216,76,2016-2020
Fayette,"$35,000 to $39,999",230,68,2016-2020
Fayette,"$40,000 to $44,999",253,68,2016-2020
Fayette,"$45,000 to $49,999",274,76,2016-2020
Fayette,"$50,000 to $59,999",618,120,2016-2020
Fayette,"$60,000 to $74,999",627,99,2016-2020
Fayette,"$75,000 to $99,999",885,140,2016-2020
Fayette,"$100,000 to $124,999",515,99,2016-2020
Fayette,"$125,000 to $149,999",324,85,2016-2020
Fayette,"$150,000 to $199,999",143,41,2016-2020
Fayette,"$200,000 or more",222,68,2016-2020
Floyd,"Less than $10,000",73,57,2016-2020
Floyd,"$10,000 to $14,999",65,46,2016-2020
Floyd,"$15,000 to $19,999",199,103,2016-2020
Floyd,"$20,000 to $24,999",102,64,2016-2020
Floyd,"$25,000 to $29,999",115,55,2016-2020
Floyd,"$30,000 to $34,999",153,67,2016-2020
Floyd,"$35,000 to $39,999",134,60,2016-2020
Floyd,"$40,000 to $44,999",220,81,2016-2020
Floyd,"$45,000 to $49,999",208,77,2016-2020
Floyd,"$50,000 to $59,999",359,100,2016-2020
Floyd,"$60,000 to $74,999",444,129,2016-2020
Floyd,"$75,000 to $99,999",788,172,2016-2020
Floyd,"$100,000 to $124,999",580,119,2016-2020
Floyd,"$125,000 to $149,999",226,72,2016-2020
Floyd,"$150,000 to $199,999",181,58,2016-2020
Floyd,"$200,000 or more",289,135,2016-2020
Franklin,"Less than $10,000",203,109,2016-2020
Franklin,"$10,000 to $14,999",51,39,2016-2020
Franklin,"$15,000 to $19,999",45,24,2016-2020
Franklin,"$20,000 to $24,999",16,13,2016-2020
Franklin,"$25,000 to $29,999",179,77,2016-2020
Franklin,"$30,000 to $34,999",188,66,2016-2020
Franklin,"$35,000 to $39,999",125,42,2016-2020
Franklin,"$40,000 to $44,999",230,126,2016-2020
Franklin,"$45,000 to $49,999",67,31,2016-2020
Franklin,"$50,000 to $59,999",258,97,2016-2020
Franklin,"$60,000 to $74,999",373,108,2016-2020
Franklin,"$75,000 to $99,999",488,126,2016-2020
Franklin,"$100,000 to $124,999",274,77,2016-2020
Franklin,"$125,000 to $149,999",181,60,2016-2020
Franklin,"$150,000 to $199,999",108,51,2016-2020
Franklin,"$200,000 or more",72,41,2016-2020
Fremont,"Less than $10,000",37,30,2016-2020
Fremont,"$10,000 to $14,999",17,13,2016-2020
Fremont,"$15,000 to $19,999",60,27,2016-2020
Fremont,"$20,000 to $24,999",64,27,2016-2020
Fremont,"$25,000 to $29,999",77,34,2016-2020
Fremont,"$30,000 to $34,999",40,18,2016-2020
Fremont,"$35,000 to $39,999",77,28,2016-2020
Fremont,"$40,000 to $44,999",81,29,2016-2020
Fremont,"$45,000 to $49,999",147,57,2016-2020
Fremont,"$50,000 to $59,999",128,51,2016-2020
Fremont,"$60,000 to $74,999",263,59,2016-2020
Fremont,"$75,000 to $99,999",339,61,2016-2020
Fremont,"$100,000 to $124,999",176,43,2016-2020
Fremont,"$125,000 to $149,999",162,47,2016-2020
Fremont,"$150,000 to $199,999",151,65,2016-2020
Fremont,"$200,000 or more",89,36,2016-2020
Greene,"Less than $10,000",58,41,2016-2020
Greene,"$10,000 to $14,999",71,47,2016-2020
Greene,"$15,000 to $19,999",74,46,2016-2020
Greene,"$20,000 to $24,999",22,20,2016-2020
Greene,"$25,000 to $29,999",101,35,2016-2020
Greene,"$30,000 to $34,999",124,45,2016-2020
Greene,"$35,000 to $39,999",121,49,2016-2020
Greene,"$40,000 to $44,999",139,51,2016-2020
Greene,"$45,000 to $49,999",118,46,2016-2020
Greene,"$50,000 to $59,999",212,74,2016-2020
Greene,"$60,000 to $74,999",334,91,2016-2020
Greene,"$75,000 to $99,999",435,115,2016-2020
Greene,"$100,000 to $124,999",234,63,2016-2020
Greene,"$125,000 to $149,999",169,61,2016-2020
Greene,"$150,000 to $199,999",194,76,2016-2020
Greene,"$200,000 or more",79,43,2016-2020
Grundy,"Less than $10,000",68,37,2016-2020
Grundy,"$10,000 to $14,999",29,14,2016-2020
Grundy,"$15,000 to $19,999",44,20,2016-2020
Grundy,"$20,000 to $24,999",84,45,2016-2020
Grundy,"$25,000 to $29,999",55,26,2016-2020
Grundy,"$30,000 to $34,999",117,37,2016-2020
Grundy,"$35,000 to $39,999",110,40,2016-2020
Grundy,"$40,000 to $44,999",116,29,2016-2020
Grundy,"$45,000 to $49,999",145,59,2016-2020
Grundy,"$50,000 to $59,999",250,54,2016-2020
Grundy,"$60,000 to $74,999",480,98,2016-2020
Grundy,"$75,000 to $99,999",769,101,2016-2020
Grundy,"$100,000 to $124,999",530,88,2016-2020
Grundy,"$125,000 to $149,999",253,68,2016-2020
Grundy,"$150,000 to $199,999",282,57,2016-2020
Grundy,"$200,000 or more",262,80,2016-2020
Guthrie,"Less than $10,000",52,24,2016-2020
Guthrie,"$10,000 to $14,999",58,36,2016-2020
Guthrie,"$15,000 to $19,999",70,32,2016-2020
Guthrie,"$20,000 to $24,999",92,40,2016-2020
Guthrie,"$25,000 to $29,999",103,40,2016-2020
Guthrie,"$30,000 to $34,999",149,48,2016-2020
Guthrie,"$35,000 to $39,999",118,34,2016-2020
Guthrie,"$40,000 to $44,999",111,39,2016-2020
Guthrie,"$45,000 to $49,999",89,38,2016-2020
Guthrie,"$50,000 to $59,999",274,72,2016-2020
Guthrie,"$60,000 to $74,999",377,81,2016-2020
Guthrie,"$75,000 to $99,999",556,100,2016-2020
Guthrie,"$100,000 to $124,999",489,98,2016-2020
Guthrie,"$125,000 to $149,999",165,48,2016-2020
Guthrie,"$150,000 to $199,999",173,49,2016-2020
Guthrie,"$200,000 or more",232,71,2016-2020
Hamilton,"Less than $10,000",76,56,2016-2020
Hamilton,"$10,000 to $14,999",83,53,2016-2020
Hamilton,"$15,000 to $19,999",116,84,2016-2020
Hamilton,"$20,000 to $24,999",87,51,2016-2020
Hamilton,"$25,000 to $29,999",124,72,2016-2020
Hamilton,"$30,000 to $34,999",121,75,2016-2020
Hamilton,"$35,000 to $39,999",143,57,2016-2020
Hamilton,"$40,000 to $44,999",250,129,2016-2020
Hamilton,"$45,000 to $49,999",59,28,2016-2020
Hamilton,"$50,000 to $59,999",390,91,2016-2020
Hamilton,"$60,000 to $74,999",586,146,2016-2020
Hamilton,"$75,000 to $99,999",812,172,2016-2020
Hamilton,"$100,000 to $124,999",517,113,2016-2020
Hamilton,"$125,000 to $149,999",242,99,2016-2020
Hamilton,"$150,000 to $199,999",192,59,2016-2020
Hamilton,"$200,000 or more",190,67,2016-2020
Hancock,"Less than $10,000",185,73,2016-2020
Hancock,"$10,000 to $14,999",65,39,2016-2020
Hancock,"$15,000 to $19,999",33,20,2016-2020
Hancock,"$20,000 to $24,999",83,29,2016-2020
Hancock,"$25,000 to $29,999",69,37,2016-2020
Hancock,"$30,000 to $34,999",127,59,2016-2020
Hancock,"$35,000 to $39,999",190,64,2016-2020
Hancock,"$40,000 to $44,999",77,36,2016-2020
Hancock,"$45,000 to $49,999",101,44,2016-2020
Hancock,"$50,000 to $59,999",282,83,2016-2020
Hancock,"$60,000 to $74,999",484,125,2016-2020
Hancock,"$75,000 to $99,999",733,123,2016-2020
Hancock,"$100,000 to $124,999",395,105,2016-2020
Hancock,"$125,000 to $149,999",210,66,2016-2020
Hancock,"$150,000 to $199,999",144,57,2016-2020
Hancock,"$200,000 or more",134,63,2016-2020
Hardin,"Less than $10,000",118,47,2016-2020
Hardin,"$10,000 to $14,999",44,25,2016-2020
Hardin,"$15,000 to $19,999",107,60,2016-2020
Hardin,"$20,000 to $24,999",149,47,2016-2020
Hardin,"$25,000 to $29,999",192,64,2016-2020
Hardin,"$30,000 to $34,999",136,45,2016-2020
Hardin,"$35,000 to $39,999",128,46,2016-2020
Hardin,"$40,000 to $44,999",251,74,2016-2020
Hardin,"$45,000 to $49,999",166,52,2016-2020
Hardin,"$50,000 to $59,999",380,83,2016-2020
Hardin,"$60,000 to $74,999",697,130,2016-2020
Hardin,"$75,000 to $99,999",911,134,2016-2020
Hardin,"$100,000 to $124,999",577,126,2016-2020
Hardin,"$125,000 to $149,999",304,85,2016-2020
Hardin,"$150,000 to $199,999",138,41,2016-2020
Hardin,"$200,000 or more",138,46,2016-2020
Harrison,"Less than $10,000",97,56,2016-2020
Harrison,"$10,000 to $14,999",65,28,2016-2020
Harrison,"$15,000 to $19,999",96,42,2016-2020
Harrison,"$20,000 to $24,999",157,57,2016-2020
Harrison,"$25,000 to $29,999",139,60,2016-2020
Harrison,"$30,000 to $34,999",153,46,2016-2020
Harrison,"$35,000 to $39,999",172,54,2016-2020
Harrison,"$40,000 to $44,999",123,42,2016-2020
Harrison,"$45,000 to $49,999",119,61,2016-2020
Harrison,"$50,000 to $59,999",340,93,2016-2020
Harrison,"$60,000 to $74,999",566,81,2016-2020
Harrison,"$75,000 to $99,999",825,123,2016-2020
Harrison,"$100,000 to $124,999",567,114,2016-2020
Harrison,"$125,000 to $149,999",406,75,2016-2020
Harrison,"$150,000 to $199,999",190,45,2016-2020
Harrison,"$200,000 or more",215,68,2016-2020
Henry,"Less than $10,000",177,86,2016-2020
Henry,"$10,000 to $14,999",96,66,2016-2020
Henry,"$15,000 to $19,999",134,81,2016-2020
Henry,"$20,000 to $24,999",70,38,2016-2020
Henry,"$25,000 to $29,999",189,84,2016-2020
Henry,"$30,000 to $34,999",231,87,2016-2020
Henry,"$35,000 to $39,999",215,69,2016-2020
Henry,"$40,000 to $44,999",232,73,2016-2020
Henry,"$45,000 to $49,999",256,82,2016-2020
Henry,"$50,000 to $59,999",542,123,2016-2020
Henry,"$60,000 to $74,999",626,104,2016-2020
Henry,"$75,000 to $99,999","1,027",177,2016-2020
Henry,"$100,000 to $124,999",667,129,2016-2020
Henry,"$125,000 to $149,999",288,73,2016-2020
Henry,"$150,000 to $199,999",248,128,2016-2020
Henry,"$200,000 or more",103,39,2016-2020
Howard,"Less than $10,000",66,52,2016-2020
Howard,"$10,000 to $14,999",72,80,2016-2020
Howard,"$15,000 to $19,999",86,53,2016-2020
Howard,"$20,000 to $24,999",17,13,2016-2020
Howard,"$25,000 to $29,999",38,28,2016-2020
Howard,"$30,000 to $34,999",128,65,2016-2020
Howard,"$35,000 to $39,999",193,80,2016-2020
Howard,"$40,000 to $44,999",100,50,2016-2020
Howard,"$45,000 to $49,999",73,37,2016-2020
Howard,"$50,000 to $59,999",316,83,2016-2020
Howard,"$60,000 to $74,999",375,76,2016-2020
Howard,"$75,000 to $99,999",470,93,2016-2020
Howard,"$100,000 to $124,999",317,83,2016-2020
Howard,"$125,000 to $149,999",103,48,2016-2020
Howard,"$150,000 to $199,999",137,48,2016-2020
Howard,"$200,000 or more",64,32,2016-2020
Humboldt,"Less than $10,000",111,57,2016-2020
Humboldt,"$10,000 to $14,999",48,33,2016-2020
Humboldt,"$15,000 to $19,999",56,32,2016-2020
Humboldt,"$20,000 to $24,999",61,28,2016-2020
Humboldt,"$25,000 to $29,999",163,79,2016-2020
Humboldt,"$30,000 to $34,999",104,36,2016-2020
Humboldt,"$35,000 to $39,999",101,50,2016-2020
Humboldt,"$40,000 to $44,999",83,42,2016-2020
Humboldt,"$45,000 to $49,999",78,43,2016-2020
Humboldt,"$50,000 to $59,999",298,87,2016-2020
Humboldt,"$60,000 to $74,999",288,88,2016-2020
Humboldt,"$75,000 to $99,999",391,79,2016-2020
Humboldt,"$100,000 to $124,999",441,80,2016-2020
Humboldt,"$125,000 to $149,999",147,51,2016-2020
Humboldt,"$150,000 to $199,999",93,39,2016-2020
Humboldt,"$200,000 or more",121,51,2016-2020
Ida,"Less than $10,000",98,62,2016-2020
Ida,"$10,000 to $14,999",30,16,2016-2020
Ida,"$15,000 to $19,999",30,16,2016-2020
Ida,"$20,000 to $24,999",71,42,2016-2020
Ida,"$25,000 to $29,999",66,36,2016-2020
Ida,"$30,000 to $34,999",78,31,2016-2020
Ida,"$35,000 to $39,999",46,28,2016-2020
Ida,"$40,000 to $44,999",80,46,2016-2020
Ida,"$45,000 to $49,999",163,78,2016-2020
Ida,"$50,000 to $59,999",153,46,2016-2020
Ida,"$60,000 to $74,999",222,53,2016-2020
Ida,"$75,000 to $99,999",332,83,2016-2020
Ida,"$100,000 to $124,999",213,51,2016-2020
Ida,"$125,000 to $149,999",113,39,2016-2020
Ida,"$150,000 to $199,999",122,39,2016-2020
Ida,"$200,000 or more",85,27,2016-2020
Iowa,"Less than $10,000",78,41,2016-2020
Iowa,"$10,000 to $14,999",99,66,2016-2020
Iowa,"$15,000 to $19,999",120,69,2016-2020
Iowa,"$20,000 to $24,999",70,48,2016-2020
Iowa,"$25,000 to $29,999",119,43,2016-2020
Iowa,"$30,000 to $34,999",113,56,2016-2020
Iowa,"$35,000 to $39,999",139,44,2016-2020
Iowa,"$40,000 to $44,999",106,44,2016-2020
Iowa,"$45,000 to $49,999",185,68,2016-2020
Iowa,"$50,000 to $59,999",519,114,2016-2020
Iowa,"$60,000 to $74,999",626,115,2016-2020
Iowa,"$75,000 to $99,999",822,138,2016-2020
Iowa,"$100,000 to $124,999",580,148,2016-2020
Iowa,"$125,000 to $149,999",319,97,2016-2020
Iowa,"$150,000 to $199,999",375,113,2016-2020
Iowa,"$200,000 or more",230,83,2016-2020
Jackson,"Less than $10,000",150,59,2016-2020
Jackson,"$10,000 to $14,999",106,63,2016-2020
Jackson,"$15,000 to $19,999",86,48,2016-2020
Jackson,"$20,000 to $24,999",290,107,2016-2020
Jackson,"$25,000 to $29,999",151,64,2016-2020
Jackson,"$30,000 to $34,999",175,73,2016-2020
Jackson,"$35,000 to $39,999",290,96,2016-2020
Jackson,"$40,000 to $44,999",249,87,2016-2020
Jackson,"$45,000 to $49,999",178,65,2016-2020
Jackson,"$50,000 to $59,999",428,103,2016-2020
Jackson,"$60,000 to $74,999",572,151,2016-2020
Jackson,"$75,000 to $99,999","1,022",153,2016-2020
Jackson,"$100,000 to $124,999",684,154,2016-2020
Jackson,"$125,000 to $149,999",355,84,2016-2020
Jackson,"$150,000 to $199,999",526,163,2016-2020
Jackson,"$200,000 or more",213,62,2016-2020
Jasper,"Less than $10,000",323,118,2016-2020
Jasper,"$10,000 to $14,999",86,58,2016-2020
Jasper,"$15,000 to $19,999",176,83,2016-2020
Jasper,"$20,000 to $24,999",244,107,2016-2020
Jasper,"$25,000 to $29,999",517,189,2016-2020
Jasper,"$30,000 to $34,999",381,130,2016-2020
Jasper,"$35,000 to $39,999",376,120,2016-2020
Jasper,"$40,000 to $44,999",405,127,2016-2020
Jasper,"$45,000 to $49,999",433,124,2016-2020
Jasper,"$50,000 to $59,999","1,048",196,2016-2020
Jasper,"$60,000 to $74,999","1,353",225,2016-2020
Jasper,"$75,000 to $99,999","1,514",183,2016-2020
Jasper,"$100,000 to $124,999","1,332",206,2016-2020
Jasper,"$125,000 to $149,999",890,151,2016-2020
Jasper,"$150,000 to $199,999",457,102,2016-2020
Jasper,"$200,000 or more",475,124,2016-2020
Jefferson,"Less than $10,000",140,94,2016-2020
Jefferson,"$10,000 to $14,999",74,78,2016-2020
Jefferson,"$15,000 to $19,999",65,43,2016-2020
Jefferson,"$20,000 to $24,999",154,122,2016-2020
Jefferson,"$25,000 to $29,999",245,121,2016-2020
Jefferson,"$30,000 to $34,999",274,120,2016-2020
Jefferson,"$35,000 to $39,999",187,81,2016-2020
Jefferson,"$40,000 to $44,999",199,72,2016-2020
Jefferson,"$45,000 to $49,999",209,106,2016-2020
Jefferson,"$50,000 to $59,999",335,113,2016-2020
Jefferson,"$60,000 to $74,999",456,129,2016-2020
Jefferson,"$75,000 to $99,999",562,149,2016-2020
Jefferson,"$100,000 to $124,999",452,142,2016-2020
Jefferson,"$125,000 to $149,999",239,109,2016-2020
Jefferson,"$150,000 to $199,999",74,54,2016-2020
Jefferson,"$200,000 or more",169,66,2016-2020
Johnson,"Less than $10,000","1,128",292,2016-2020
Johnson,"$10,000 to $14,999",411,143,2016-2020
Johnson,"$15,000 to $19,999",487,172,2016-2020
Johnson,"$20,000 to $24,999",936,275,2016-2020
Johnson,"$25,000 to $29,999",813,251,2016-2020
Johnson,"$30,000 to $34,999",872,208,2016-2020
Johnson,"$35,000 to $39,999",760,256,2016-2020
Johnson,"$40,000 to $44,999",917,284,2016-2020
Johnson,"$45,000 to $49,999",957,200,2016-2020
Johnson,"$50,000 to $59,999","1,981",295,2016-2020
Johnson,"$60,000 to $74,999","3,029",422,2016-2020
Johnson,"$75,000 to $99,999","4,793",568,2016-2020
Johnson,"$100,000 to $124,999","4,690",455,2016-2020
Johnson,"$125,000 to $149,999","3,111",316,2016-2020
Johnson,"$150,000 to $199,999","3,586",406,2016-2020
Johnson,"$200,000 or more","4,229",423,2016-2020
Jones,"Less than $10,000",219,142,2016-2020
Jones,"$10,000 to $14,999",80,56,2016-2020
Jones,"$15,000 to $19,999",109,53,2016-2020
Jones,"$20,000 to $24,999",83,36,2016-2020
Jones,"$25,000 to $29,999",191,90,2016-2020
Jones,"$30,000 to $34,999",141,71,2016-2020
Jones,"$35,000 to $39,999",293,95,2016-2020
Jones,"$40,000 to $44,999",256,97,2016-2020
Jones,"$45,000 to $49,999",200,85,2016-2020
Jones,"$50,000 to $59,999",461,100,2016-2020
Jones,"$60,000 to $74,999",454,110,2016-2020
Jones,"$75,000 to $99,999","1,167",161,2016-2020
Jones,"$100,000 to $124,999",665,116,2016-2020
Jones,"$125,000 to $149,999",325,88,2016-2020
Jones,"$150,000 to $199,999",284,93,2016-2020
Jones,"$200,000 or more",303,92,2016-2020
Keokuk,"Less than $10,000",83,32,2016-2020
Keokuk,"$10,000 to $14,999",114,61,2016-2020
Keokuk,"$15,000 to $19,999",80,40,2016-2020
Keokuk,"$20,000 to $24,999",64,30,2016-2020
Keokuk,"$25,000 to $29,999",90,30,2016-2020
Keokuk,"$30,000 to $34,999",95,29,2016-2020
Keokuk,"$35,000 to $39,999",91,38,2016-2020
Keokuk,"$40,000 to $44,999",119,45,2016-2020
Keokuk,"$45,000 to $49,999",125,38,2016-2020
Keokuk,"$50,000 to $59,999",205,52,2016-2020
Keokuk,"$60,000 to $74,999",354,73,2016-2020
Keokuk,"$75,000 to $99,999",490,79,2016-2020
Keokuk,"$100,000 to $124,999",292,54,2016-2020
Keokuk,"$125,000 to $149,999",167,67,2016-2020
Keokuk,"$150,000 to $199,999",167,51,2016-2020
Keokuk,"$200,000 or more",115,44,2016-2020
Kossuth,"Less than $10,000",100,35,2016-2020
Kossuth,"$10,000 to $14,999",64,40,2016-2020
Kossuth,"$15,000 to $19,999",119,71,2016-2020
Kossuth,"$20,000 to $24,999",183,65,2016-2020
Kossuth,"$25,000 to $29,999",114,42,2016-2020
Kossuth,"$30,000 to $34,999",164,53,2016-2020
Kossuth,"$35,000 to $39,999",154,62,2016-2020
Kossuth,"$40,000 to $44,999",153,62,2016-2020
Kossuth,"$45,000 to $49,999",200,71,2016-2020
Kossuth,"$50,000 to $59,999",402,108,2016-2020
Kossuth,"$60,000 to $74,999",516,93,2016-2020
Kossuth,"$75,000 to $99,999",729,109,2016-2020
Kossuth,"$100,000 to $124,999",388,74,2016-2020
Kossuth,"$125,000 to $149,999",376,90,2016-2020
Kossuth,"$150,000 to $199,999",172,49,2016-2020
Kossuth,"$200,000 or more",185,57,2016-2020
Lee,"Less than $10,000",245,88,2016-2020
Lee,"$10,000 to $14,999",203,71,2016-2020
Lee,"$15,000 to $19,999",239,80,2016-2020
Lee,"$20,000 to $24,999",468,192,2016-2020
Lee,"$25,000 to $29,999",510,144,2016-2020
Lee,"$30,000 to $34,999",341,94,2016-2020
Lee,"$35,000 to $39,999",431,120,2016-2020
Lee,"$40,000 to $44,999",501,151,2016-2020
Lee,"$45,000 to $49,999",433,117,2016-2020
Lee,"$50,000 to $59,999",897,192,2016-2020
Lee,"$60,000 to $74,999","1,372",217,2016-2020
Lee,"$75,000 to $99,999","1,528",197,2016-2020
Lee,"$100,000 to $124,999",904,174,2016-2020
Lee,"$125,000 to $149,999",611,169,2016-2020
Lee,"$150,000 to $199,999",423,103,2016-2020
Lee,"$200,000 or more",282,84,2016-2020
Linn,"Less than $10,000","1,239",235,2016-2020
Linn,"$10,000 to $14,999",949,242,2016-2020
Linn,"$15,000 to $19,999","1,048",285,2016-2020
Linn,"$20,000 to $24,999","1,249",314,2016-2020
Linn,"$25,000 to $29,999","1,417",303,2016-2020
Linn,"$30,000 to $34,999","1,555",325,2016-2020
Linn,"$35,000 to $39,999","1,908",321,2016-2020
Linn,"$40,000 to $44,999","2,092",332,2016-2020
Linn,"$45,000 to $49,999","2,046",323,2016-2020
Linn,"$50,000 to $59,999","4,356",584,2016-2020
Linn,"$60,000 to $74,999","6,182",476,2016-2020
Linn,"$75,000 to $99,999","9,443",651,2016-2020
Linn,"$100,000 to $124,999","7,308",605,2016-2020
Linn,"$125,000 to $149,999","4,871",427,2016-2020
Linn,"$150,000 to $199,999","5,995",506,2016-2020
Linn,"$200,000 or more","5,429",546,2016-2020
Louisa,"Less than $10,000",71,45,2016-2020
Louisa,"$10,000 to $14,999",52,27,2016-2020
Louisa,"$15,000 to $19,999",77,35,2016-2020
Louisa,"$20,000 to $24,999",69,33,2016-2020
Louisa,"$25,000 to $29,999",102,44,2016-2020
Louisa,"$30,000 to $34,999",125,52,2016-2020
Louisa,"$35,000 to $39,999",99,36,2016-2020
Louisa,"$40,000 to $44,999",131,60,2016-2020
Louisa,"$45,000 to $49,999",90,31,2016-2020
Louisa,"$50,000 to $59,999",292,74,2016-2020
Louisa,"$60,000 to $74,999",433,100,2016-2020
Louisa,"$75,000 to $99,999",619,122,2016-2020
Louisa,"$100,000 to $124,999",344,67,2016-2020
Louisa,"$125,000 to $149,999",219,73,2016-2020
Louisa,"$150,000 to $199,999",166,53,2016-2020
Louisa,"$200,000 or more",171,73,2016-2020
Lucas,"Less than $10,000",150,101,2016-2020
Lucas,"$10,000 to $14,999",60,33,2016-2020
Lucas,"$15,000 to $19,999",65,36,2016-2020
Lucas,"$20,000 to $24,999",53,36,2016-2020
Lucas,"$25,000 to $29,999",93,38,2016-2020
Lucas,"$30,000 to $34,999",129,47,2016-2020
Lucas,"$35,000 to $39,999",48,27,2016-2020
Lucas,"$40,000 to $44,999",100,46,2016-2020
Lucas,"$45,000 to $49,999",106,50,2016-2020
Lucas,"$50,000 to $59,999",245,78,2016-2020
Lucas,"$60,000 to $74,999",402,90,2016-2020
Lucas,"$75,000 to $99,999",483,116,2016-2020
Lucas,"$100,000 to $124,999",222,67,2016-2020
Lucas,"$125,000 to $149,999",134,43,2016-2020
Lucas,"$150,000 to $199,999",187,60,2016-2020
Lucas,"$200,000 or more",63,36,2016-2020
Lyon,"Less than $10,000",90,62,2016-2020
Lyon,"$10,000 to $14,999",3,5,2016-2020
Lyon,"$15,000 to $19,999",31,17,2016-2020
Lyon,"$20,000 to $24,999",68,26,2016-2020
Lyon,"$25,000 to $29,999",104,44,2016-2020
Lyon,"$30,000 to $34,999",162,76,2016-2020
Lyon,"$35,000 to $39,999",101,48,2016-2020
Lyon,"$40,000 to $44,999",169,74,2016-2020
Lyon,"$45,000 to $49,999",157,53,2016-2020
Lyon,"$50,000 to $59,999",270,61,2016-2020
Lyon,"$60,000 to $74,999",456,88,2016-2020
Lyon,"$75,000 to $99,999",708,104,2016-2020
Lyon,"$100,000 to $124,999",512,87,2016-2020
Lyon,"$125,000 to $149,999",202,59,2016-2020
Lyon,"$150,000 to $199,999",243,87,2016-2020
Lyon,"$200,000 or more",88,36,2016-2020
Madison,"Less than $10,000",21,29,2016-2020
Madison,"$10,000 to $14,999",19,14,2016-2020
Madison,"$15,000 to $19,999",127,72,2016-2020
Madison,"$20,000 to $24,999",227,105,2016-2020
Madison,"$25,000 to $29,999",58,45,2016-2020
Madison,"$30,000 to $34,999",44,29,2016-2020
Madison,"$35,000 to $39,999",232,113,2016-2020
Madison,"$40,000 to $44,999",169,107,2016-2020
Madison,"$45,000 to $49,999",175,80,2016-2020
Madison,"$50,000 to $59,999",367,101,2016-2020
Madison,"$60,000 to $74,999",587,161,2016-2020
Madison,"$75,000 to $99,999",784,168,2016-2020
Madison,"$100,000 to $124,999",695,137,2016-2020
Madison,"$125,000 to $149,999",537,166,2016-2020
Madison,"$150,000 to $199,999",447,103,2016-2020
Madison,"$200,000 or more",440,128,2016-2020
Mahaska,"Less than $10,000",92,54,2016-2020
Mahaska,"$10,000 to $14,999",161,74,2016-2020
Mahaska,"$15,000 to $19,999",146,80,2016-2020
Mahaska,"$20,000 to $24,999",229,83,2016-2020
Mahaska,"$25,000 to $29,999",220,85,2016-2020
Mahaska,"$30,000 to $34,999",271,90,2016-2020
Mahaska,"$35,000 to $39,999",263,73,2016-2020
Mahaska,"$40,000 to $44,999",259,78,2016-2020
Mahaska,"$45,000 to $49,999",199,67,2016-2020
Mahaska,"$50,000 to $59,999",573,129,2016-2020
Mahaska,"$60,000 to $74,999",600,133,2016-2020
Mahaska,"$75,000 to $99,999","1,237",176,2016-2020
Mahaska,"$100,000 to $124,999",856,163,2016-2020
Mahaska,"$125,000 to $149,999",365,127,2016-2020
Mahaska,"$150,000 to $199,999",241,77,2016-2020
Mahaska,"$200,000 or more",197,67,2016-2020
Marion,"Less than $10,000",300,134,2016-2020
Marion,"$10,000 to $14,999",58,28,2016-2020
Marion,"$15,000 to $19,999",136,67,2016-2020
Marion,"$20,000 to $24,999",191,97,2016-2020
Marion,"$25,000 to $29,999",263,93,2016-2020
Marion,"$30,000 to $34,999",270,101,2016-2020
Marion,"$35,000 to $39,999",326,101,2016-2020
Marion,"$40,000 to $44,999",311,87,2016-2020
Marion,"$45,000 to $49,999",419,117,2016-2020
Marion,"$50,000 to $59,999","1,029",211,2016-2020
Marion,"$60,000 to $74,999","1,132",214,2016-2020
Marion,"$75,000 to $99,999","1,624",236,2016-2020
Marion,"$100,000 to $124,999","1,250",208,2016-2020
Marion,"$125,000 to $149,999",728,150,2016-2020
Marion,"$150,000 to $199,999",658,182,2016-2020
Marion,"$200,000 or more",636,188,2016-2020
Marshall,"Less than $10,000",450,155,2016-2020
Marshall,"$10,000 to $14,999",138,80,2016-2020
Marshall,"$15,000 to $19,999",174,88,2016-2020
Marshall,"$20,000 to $24,999",480,181,2016-2020
Marshall,"$25,000 to $29,999",359,116,2016-2020
Marshall,"$30,000 to $34,999",263,81,2016-2020
Marshall,"$35,000 to $39,999",272,95,2016-2020
Marshall,"$40,000 to $44,999",476,135,2016-2020
Marshall,"$45,000 to $49,999",478,112,2016-2020
Marshall,"$50,000 to $59,999",776,170,2016-2020
Marshall,"$60,000 to $74,999","1,375",242,2016-2020
Marshall,"$75,000 to $99,999","1,885",285,2016-2020
Marshall,"$100,000 to $124,999","1,239",210,2016-2020
Marshall,"$125,000 to $149,999",743,154,2016-2020
Marshall,"$150,000 to $199,999",553,135,2016-2020
Marshall,"$200,000 or more",352,105,2016-2020
Mills,"Less than $10,000",32,23,2016-2020
Mills,"$10,000 to $14,999",18,20,2016-2020
Mills,"$15,000 to $19,999",66,39,2016-2020
Mills,"$20,000 to $24,999",111,62,2016-2020
Mills,"$25,000 to $29,999",81,38,2016-2020
Mills,"$30,000 to $34,999",78,41,2016-2020
Mills,"$35,000 to $39,999",109,57,2016-2020
Mills,"$40,000 to $44,999",107,56,2016-2020
Mills,"$45,000 to $49,999",124,58,2016-2020
Mills,"$50,000 to $59,999",277,77,2016-2020
Mills,"$60,000 to $74,999",388,71,2016-2020
Mills,"$75,000 to $99,999",698,139,2016-2020
