County,Income,Families,Families ME,Year
Black Hawk,"$45,000 to $49,999","1,238",225,2016-2020
Black Hawk,"$50,000 to $59,999","2,534",331,2016-2020
Black Hawk,"$60,000 to $74,999","3,370",346,2016-2020
Black Hawk,"$75,000 to $99,999","4,937",342,2016-2020
Black Hawk,"$100,000 to $124,999","3,847",363,2016-2020
Black Hawk,"$125,000 to $149,999","2,327",256,2016-2020
Black Hawk,"$150,000 to $199,999","2,111",389,2016-2020
Black Hawk,"$200,000 or more","2,135",323,2016-2020
Boone,"Less than $10,000",106,52,2016-2020
Boone,"$10,000 to $14,999",59,44,2016-2020
Boone,"$15,000 to $19,999",62,37,2016-2020
Boone,"$20,000 to $24,999",208,100,2016-2020
Boone,"$25,000 to $29,999",129,53,2016-2020
Boone,"$30,000 to $34,999",178,77,2016-2020
Boone,"$35,000 to $39,999",256,103,2016-2020
Boone,"$40,000 to $44,999",302,109,2016-2020
Boone,"$45,000 to $49,999",242,70,2016-2020
Boone,"$50,000 to $59,999",492,114,2016-2020
Boone,"$60,000 to $74,999",884,189,2016-2020
Boone,"$75,000 to $99,999","1,426",225,2016-2020
Boone,"$100,000 to $124,999","1,115",178,2016-2020
Boone,"$125,000 to $149,999",752,200,2016-2020
Boone,"$150,000 to $199,999",420,107,2016-2020
Boone,"$200,000 or more",445,136,2016-2020
Bremer,"Less than $10,000",129,57,2016-2020
Bremer,"$10,000 to $14,999",103,61,2016-2020
Bremer,"$15,000 to $19,999",62,37,2016-2020
Bremer,"$20,000 to $24,999",178,79,2016-2020
Bremer,"$25,000 to $29,999",79,40,2016-2020
Bremer,"$30,000 to $34,999",168,65,2016-2020
Bremer,"$35,000 to $39,999",150,57,2016-2020
Bremer,"$40,000 to $44,999",282,85,2016-2020
Bremer,"$45,000 to $49,999",184,62,2016-2020
Bremer,"$50,000 to $59,999",574,121,2016-2020
Bremer,"$60,000 to $74,999",850,136,2016-2020
Bremer,"$75,000 to $99,999","1,335",168,2016-2020
Bremer,"$100,000 to $124,999","1,110",167,2016-2020
Bremer,"$125,000 to $149,999",692,130,2016-2020
Bremer,"$150,000 to $199,999",567,105,2016-2020
Bremer,"$200,000 or more",282,80,2016-2020
Buchanan,"Less than $10,000",168,69,2016-2020
Buchanan,"$10,000 to $14,999",54,33,2016-2020
Buchanan,"$15,000 to $19,999",98,48,2016-2020
Buchanan,"$20,000 to $24,999",169,61,2016-2020
Buchanan,"$25,000 to $29,999",172,56,2016-2020
Buchanan,"$30,000 to $34,999",149,58,2016-2020
Buchanan,"$35,000 to $39,999",265,116,2016-2020
Buchanan,"$40,000 to $44,999",192,69,2016-2020
Buchanan,"$45,000 to $49,999",166,63,2016-2020
Buchanan,"$50,000 to $59,999",419,92,2016-2020
Buchanan,"$60,000 to $74,999",636,117,2016-2020
Buchanan,"$75,000 to $99,999","1,163",170,2016-2020
Buchanan,"$100,000 to $124,999",799,119,2016-2020
Buchanan,"$125,000 to $149,999",454,106,2016-2020
Buchanan,"$150,000 to $199,999",415,101,2016-2020
Buchanan,"$200,000 or more",309,104,2016-2020
Buena Vista,"Less than $10,000",87,53,2016-2020
Buena Vista,"$10,000 to $14,999",41,25,2016-2020
Buena Vista,"$15,000 to $19,999",117,80,2016-2020
Buena Vista,"$20,000 to $24,999",135,111,2016-2020
Buena Vista,"$25,000 to $29,999",177,100,2016-2020
Buena Vista,"$30,000 to $34,999",175,78,2016-2020
Buena Vista,"$35,000 to $39,999",138,73,2016-2020
Buena Vista,"$40,000 to $44,999",177,82,2016-2020
Buena Vista,"$45,000 to $49,999",307,103,2016-2020
Buena Vista,"$50,000 to $59,999",342,82,2016-2020
Buena Vista,"$60,000 to $74,999",710,161,2016-2020
Buena Vista,"$75,000 to $99,999",826,150,2016-2020
Buena Vista,"$100,000 to $124,999",415,97,2016-2020
Buena Vista,"$125,000 to $149,999",355,80,2016-2020
Buena Vista,"$150,000 to $199,999",431,113,2016-2020
Buena Vista,"$200,000 or more",174,53,2016-2020
Butler,"Less than $10,000",179,59,2016-2020
Butler,"$10,000 to $14,999",90,38,2016-2020
Butler,"$15,000 to $19,999",71,30,2016-2020
Butler,"$20,000 to $24,999",169,56,2016-2020
Butler,"$25,000 to $29,999",100,26,2016-2020
Butler,"$30,000 to $34,999",135,46,2016-2020
Butler,"$35,000 to $39,999",180,64,2016-2020
Butler,"$40,000 to $44,999",232,68,2016-2020
Butler,"$45,000 to $49,999",172,45,2016-2020
Butler,"$50,000 to $59,999",385,72,2016-2020
Butler,"$60,000 to $74,999",520,92,2016-2020
Butler,"$75,000 to $99,999",896,111,2016-2020
Butler,"$100,000 to $124,999",473,83,2016-2020
Butler,"$125,000 to $149,999",272,70,2016-2020
Butler,"$150,000 to $199,999",194,65,2016-2020
Butler,"$200,000 or more",151,43,2016-2020
Calhoun,"Less than $10,000",114,42,2016-2020
Calhoun,"$10,000 to $14,999",46,19,2016-2020
Calhoun,"$15,000 to $19,999",79,49,2016-2020
Calhoun,"$20,000 to $24,999",74,26,2016-2020
Calhoun,"$25,000 to $29,999",144,59,2016-2020
Calhoun,"$30,000 to $34,999",134,52,2016-2020
Calhoun,"$35,000 to $39,999",73,26,2016-2020
Calhoun,"$40,000 to $44,999",114,45,2016-2020
Calhoun,"$45,000 to $49,999",115,38,2016-2020
Calhoun,"$50,000 to $59,999",217,53,2016-2020
Calhoun,"$60,000 to $74,999",338,59,2016-2020
Calhoun,"$75,000 to $99,999",549,76,2016-2020
Calhoun,"$100,000 to $124,999",313,78,2016-2020
Calhoun,"$125,000 to $149,999",115,38,2016-2020
Calhoun,"$150,000 to $199,999",95,35,2016-2020
Calhoun,"$200,000 or more",155,48,2016-2020
Carroll,"Less than $10,000",118,82,2016-2020
Carroll,"$10,000 to $14,999",45,25,2016-2020
Carroll,"$15,000 to $19,999",111,45,2016-2020
Carroll,"$20,000 to $24,999",119,56,2016-2020
Carroll,"$25,000 to $29,999",304,133,2016-2020
Carroll,"$30,000 to $34,999",193,81,2016-2020
Carroll,"$35,000 to $39,999",239,101,2016-2020
Carroll,"$40,000 to $44,999",227,88,2016-2020
Carroll,"$45,000 to $49,999",207,84,2016-2020
Carroll,"$50,000 to $59,999",424,95,2016-2020
Carroll,"$60,000 to $74,999",462,94,2016-2020
Carroll,"$75,000 to $99,999","1,082",176,2016-2020
Carroll,"$100,000 to $124,999",739,133,2016-2020
Carroll,"$125,000 to $149,999",477,99,2016-2020
Carroll,"$150,000 to $199,999",488,118,2016-2020
Carroll,"$200,000 or more",167,59,2016-2020
Cass,"Less than $10,000",130,67,2016-2020
Cass,"$10,000 to $14,999",58,37,2016-2020
Cass,"$15,000 to $19,999",114,56,2016-2020
Cass,"$20,000 to $24,999",43,29,2016-2020
Cass,"$25,000 to $29,999",230,107,2016-2020
Cass,"$30,000 to $34,999",113,62,2016-2020
Cass,"$35,000 to $39,999",104,45,2016-2020
Cass,"$40,000 to $44,999",169,59,2016-2020
Cass,"$45,000 to $49,999",145,76,2016-2020
Cass,"$50,000 to $59,999",250,71,2016-2020
Cass,"$60,000 to $74,999",539,139,2016-2020
Cass,"$75,000 to $99,999",640,135,2016-2020
Cass,"$100,000 to $124,999",379,101,2016-2020
Cass,"$125,000 to $149,999",212,90,2016-2020
Cass,"$150,000 to $199,999",221,73,2016-2020
Cass,"$200,000 or more",182,93,2016-2020
Cedar,"Less than $10,000",53,31,2016-2020
Cedar,"$10,000 to $14,999",56,37,2016-2020
Cedar,"$15,000 to $19,999",101,54,2016-2020
Cedar,"$20,000 to $24,999",113,43,2016-2020
Cedar,"$25,000 to $29,999",123,57,2016-2020
Cedar,"$30,000 to $34,999",90,43,2016-2020
Cedar,"$35,000 to $39,999",184,82,2016-2020
Cedar,"$40,000 to $44,999",147,49,2016-2020
Cedar,"$45,000 to $49,999",216,65,2016-2020
Cedar,"$50,000 to $59,999",366,96,2016-2020
Cedar,"$60,000 to $74,999",711,163,2016-2020
Cedar,"$75,000 to $99,999","1,039",186,2016-2020
Cedar,"$100,000 to $124,999",845,165,2016-2020
Cedar,"$125,000 to $149,999",381,88,2016-2020
Cedar,"$150,000 to $199,999",359,78,2016-2020
Cedar,"$200,000 or more",185,61,2016-2020
Cerro Gordo,"Less than $10,000",236,87,2016-2020
Cerro Gordo,"$10,000 to $14,999",169,82,2016-2020
Cerro Gordo,"$15,000 to $19,999",157,86,2016-2020
Cerro Gordo,"$20,000 to $24,999",480,179,2016-2020
Cerro Gordo,"$25,000 to $29,999",266,103,2016-2020
Cerro Gordo,"$30,000 to $34,999",468,146,2016-2020
Cerro Gordo,"$35,000 to $39,999",532,138,2016-2020
Cerro Gordo,"$40,000 to $44,999",493,146,2016-2020
Cerro Gordo,"$45,000 to $49,999",629,163,2016-2020
Cerro Gordo,"$50,000 to $59,999","1,318",322,2016-2020
Cerro Gordo,"$60,000 to $74,999","1,097",204,2016-2020
Cerro Gordo,"$75,000 to $99,999","2,158",320,2016-2020
Cerro Gordo,"$100,000 to $124,999","1,377",223,2016-2020
Cerro Gordo,"$125,000 to $149,999",794,166,2016-2020
Cerro Gordo,"$150,000 to $199,999",578,141,2016-2020
Cerro Gordo,"$200,000 or more",780,163,2016-2020
Cherokee,"Less than $10,000",141,85,2016-2020
Cherokee,"$10,000 to $14,999",36,38,2016-2020
Cherokee,"$15,000 to $19,999",26,21,2016-2020
Cherokee,"$20,000 to $24,999",41,30,2016-2020
Cherokee,"$25,000 to $29,999",138,90,2016-2020
Cherokee,"$30,000 to $34,999",140,63,2016-2020
Cherokee,"$35,000 to $39,999",107,60,2016-2020
Cherokee,"$40,000 to $44,999",116,56,2016-2020
Cherokee,"$45,000 to $49,999",170,67,2016-2020
Cherokee,"$50,000 to $59,999",219,51,2016-2020
Cherokee,"$60,000 to $74,999",338,80,2016-2020
Cherokee,"$75,000 to $99,999",609,140,2016-2020
Cherokee,"$100,000 to $124,999",433,88,2016-2020
Cherokee,"$125,000 to $149,999",238,104,2016-2020
Cherokee,"$150,000 to $199,999",168,52,2016-2020
Cherokee,"$200,000 or more",205,76,2016-2020
Chickasaw,"Less than $10,000",24,23,2016-2020
Chickasaw,"$10,000 to $14,999",106,67,2016-2020
Chickasaw,"$15,000 to $19,999",42,29,2016-2020
Chickasaw,"$20,000 to $24,999",69,40,2016-2020
Chickasaw,"$25,000 to $29,999",75,37,2016-2020
Chickasaw,"$30,000 to $34,999",208,96,2016-2020
Chickasaw,"$35,000 to $39,999",167,70,2016-2020
Chickasaw,"$40,000 to $44,999",129,53,2016-2020
Chickasaw,"$45,000 to $49,999",110,42,2016-2020
Chickasaw,"$50,000 to $59,999",239,78,2016-2020
Chickasaw,"$60,000 to $74,999",473,123,2016-2020
Chickasaw,"$75,000 to $99,999",697,123,2016-2020
Chickasaw,"$100,000 to $124,999",394,79,2016-2020
Chickasaw,"$125,000 to $149,999",268,106,2016-2020
Chickasaw,"$150,000 to $199,999",212,73,2016-2020
Chickasaw,"$200,000 or more",108,55,2016-2020
Clarke,"Less than $10,000",145,114,2016-2020
Clarke,"$10,000 to $14,999",118,87,2016-2020
Clarke,"$15,000 to $19,999",5,7,2016-2020
Clarke,"$20,000 to $24,999",84,53,2016-2020
Clarke,"$25,000 to $29,999",48,39,2016-2020
Clarke,"$30,000 to $34,999",81,48,2016-2020
Clarke,"$35,000 to $39,999",101,95,2016-2020
Clarke,"$40,000 to $44,999",51,24,2016-2020
Clarke,"$45,000 to $49,999",54,36,2016-2020
Clarke,"$50,000 to $59,999",407,147,2016-2020
Clarke,"$60,000 to $74,999",296,110,2016-2020
Clarke,"$75,000 to $99,999",495,159,2016-2020
Clarke,"$100,000 to $124,999",238,85,2016-2020
Clarke,"$125,000 to $149,999",57,32,2016-2020
Clarke,"$150,000 to $199,999",188,90,2016-2020
Clarke,"$200,000 or more",69,40,2016-2020
Clay,"Less than $10,000",68,52,2016-2020
Clay,"$10,000 to $14,999",166,112,2016-2020
Clay,"$15,000 to $19,999",74,48,2016-2020
Clay,"$20,000 to $24,999",164,89,2016-2020
Clay,"$25,000 to $29,999",171,85,2016-2020
Clay,"$30,000 to $34,999",236,108,2016-2020
Clay,"$35,000 to $39,999",172,89,2016-2020
Clay,"$40,000 to $44,999",224,109,2016-2020
Clay,"$45,000 to $49,999",157,78,2016-2020
Clay,"$50,000 to $59,999",361,104,2016-2020
Clay,"$60,000 to $74,999",502,128,2016-2020
Clay,"$75,000 to $99,999",840,159,2016-2020
Clay,"$100,000 to $124,999",595,137,2016-2020
Clay,"$125,000 to $149,999",275,99,2016-2020
Clay,"$150,000 to $199,999",209,90,2016-2020
Clay,"$200,000 or more",159,79,2016-2020
Clayton,"Less than $10,000",74,31,2016-2020
Clayton,"$10,000 to $14,999",61,30,2016-2020
Clayton,"$15,000 to $19,999",127,57,2016-2020
Clayton,"$20,000 to $24,999",192,82,2016-2020
Clayton,"$25,000 to $29,999",187,59,2016-2020
Clayton,"$30,000 to $34,999",121,48,2016-2020
Clayton,"$35,000 to $39,999",219,61,2016-2020
Clayton,"$40,000 to $44,999",329,97,2016-2020
Clayton,"$45,000 to $49,999",167,46,2016-2020
Clayton,"$50,000 to $59,999",367,78,2016-2020
Clayton,"$60,000 to $74,999",634,102,2016-2020
Clayton,"$75,000 to $99,999",980,150,2016-2020
Clayton,"$100,000 to $124,999",532,80,2016-2020
Clayton,"$125,000 to $149,999",310,77,2016-2020
Clayton,"$150,000 to $199,999",213,69,2016-2020
Clayton,"$200,000 or more",207,76,2016-2020
Clinton,"Less than $10,000",370,124,2016-2020
Clinton,"$10,000 to $14,999",363,127,2016-2020
Clinton,"$15,000 to $19,999",351,116,2016-2020
Clinton,"$20,000 to $24,999",427,127,2016-2020
Clinton,"$25,000 to $29,999",484,152,2016-2020
Clinton,"$30,000 to $34,999",410,137,2016-2020
Clinton,"$35,000 to $39,999",368,95,2016-2020
Clinton,"$40,000 to $44,999",589,162,2016-2020
Clinton,"$45,000 to $49,999",563,139,2016-2020
Clinton,"$50,000 to $59,999","1,111",203,2016-2020
Clinton,"$60,000 to $74,999","1,443",257,2016-2020
Clinton,"$75,000 to $99,999","2,114",303,2016-2020
Clinton,"$100,000 to $124,999","1,468",268,2016-2020
Clinton,"$125,000 to $149,999",843,154,2016-2020
Clinton,"$150,000 to $199,999",717,159,2016-2020
Clinton,"$200,000 or more",426,119,2016-2020
Crawford,"Less than $10,000",394,175,2016-2020
Crawford,"$10,000 to $14,999",45,23,2016-2020
Crawford,"$15,000 to $19,999",163,116,2016-2020
Crawford,"$20,000 to $24,999",115,101,2016-2020
Crawford,"$25,000 to $29,999",116,65,2016-2020
Crawford,"$30,000 to $34,999",224,83,2016-2020
Crawford,"$35,000 to $39,999",129,67,2016-2020
Crawford,"$40,000 to $44,999",137,77,2016-2020
Crawford,"$45,000 to $49,999",159,66,2016-2020
Crawford,"$50,000 to $59,999",619,213,2016-2020
Crawford,"$60,000 to $74,999",393,106,2016-2020
Crawford,"$75,000 to $99,999",803,187,2016-2020
Crawford,"$100,000 to $124,999",551,174,2016-2020
Crawford,"$125,000 to $149,999",269,77,2016-2020
Crawford,"$150,000 to $199,999",227,75,2016-2020
Crawford,"$200,000 or more",171,65,2016-2020
Dallas,"Less than $10,000",130,54,2016-2020
Dallas,"$10,000 to $14,999",336,213,2016-2020
Dallas,"$15,000 to $19,999",232,93,2016-2020
Dallas,"$20,000 to $24,999",230,112,2016-2020
Dallas,"$25,000 to $29,999",529,202,2016-2020
