County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Boone,2012,"25,658",29,235,132,54,44,85,75,10,16,30,28,329,124
Boone,2013,"25,658",29,235,132,54,44,85,75,10,16,30,28,329,124
Boone,2014,"25,658",29,235,132,54,44,85,75,10,16,30,28,329,124
Boone,2015,"25,658",29,235,132,54,44,85,75,10,16,30,28,329,124
Bremer,2016,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2017,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2018,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2019,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2020,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2011,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Bremer,2012,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Bremer,2013,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Bremer,2014,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Bremer,2015,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Buchanan,2016,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2017,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2018,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2019,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2020,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2011,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buchanan,2012,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buchanan,2013,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buchanan,2014,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buchanan,2015,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buena Vista,2016,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2017,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2018,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2019,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2020,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2011,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Buena Vista,2012,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Buena Vista,2013,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Buena Vista,2014,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Buena Vista,2015,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Butler,2016,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2017,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2018,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2019,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2020,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2011,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Butler,2012,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Butler,2013,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Butler,2014,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Butler,2015,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Calhoun,2016,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2017,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2018,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2019,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2020,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2011,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Calhoun,2012,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Calhoun,2013,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Calhoun,2014,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Calhoun,2015,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Carroll,2016,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2017,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2018,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2019,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2020,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2011,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Carroll,2012,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Carroll,2013,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Carroll,2014,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Carroll,2015,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Cass,2016,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2017,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2018,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2019,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2020,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2011,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cass,2012,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cass,2013,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cass,2014,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cass,2015,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cedar,2016,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2017,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2018,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2019,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2020,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2011,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cedar,2012,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cedar,2013,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cedar,2014,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cedar,2015,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cerro Gordo,2016,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2017,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2018,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2019,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2020,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2011,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cerro Gordo,2012,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cerro Gordo,2013,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cerro Gordo,2014,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cerro Gordo,2015,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cherokee,2016,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2017,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2018,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2019,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2020,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2011,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Cherokee,2012,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Cherokee,2013,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Cherokee,2014,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Cherokee,2015,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Chickasaw,2016,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2017,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2018,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2019,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2020,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2011,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Chickasaw,2012,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Chickasaw,2013,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Chickasaw,2014,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Chickasaw,2015,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Clarke,2016,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2017,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2018,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2019,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2020,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2011,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clarke,2012,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clarke,2013,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clarke,2014,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clarke,2015,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clay,2016,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2017,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2018,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2019,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2020,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2011,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clay,2012,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clay,2013,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clay,2014,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clay,2015,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clayton,2016,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
Clayton,2017,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
Clayton,2018,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
