County,Poverty ,Year
Union,13.6,2011-2015
Van Buren,14.9,2011-2015
Wapello,18.6,2011-2015
Warren,6.8,2011-2015
Washington,9.3,2011-2015
Wayne,13.3,2011-2015
Webster,15.2,2011-2015
Winnebago,9.9,2011-2015
Winneshiek,8.1,2011-2015
Woodbury,14.6,2011-2015
Worth,12,2011-2015
Wright,11.1,2011-2015
