County,Age,Age Group Estimate,Age Group ME,Year
Boone,85 years and over,583,139,2016-2020
Bremer,21 years,582,196,2016-2020
Bremer,22 to 24 years,906,221,2016-2020
Bremer,25 to 29 years,"1,275",78,2016-2020
Bremer,30 to 34 years,"1,303",36,2016-2020
Bremer,35 to 39 years,"1,668",202,2016-2020
Bremer,40 to 44 years,"1,420",213,2016-2020
Bremer,45 to 49 years,"1,395",35,2016-2020
Bremer,50 to 54 years,"1,412",36,2016-2020
Bremer,55 to 59 years,"1,711",196,2016-2020
Bremer,60 and 61 years,596,152,2016-2020
Bremer,62 to 64 years,790,147,2016-2020
Bremer,65 and 66 years,580,168,2016-2020
Bremer,67 to 69 years,"1,019",188,2016-2020
Bremer,70 to 74 years,"1,021",182,2016-2020
Bremer,75 to 79 years,"1,042",165,2016-2020
Bremer,80 to 84 years,577,130,2016-2020
Bremer,85 years and over,703,134,2016-2020
Buchanan,21 years,142,92,2016-2020
Buchanan,22 to 24 years,671,137,2016-2020
Buchanan,25 to 29 years,"1,123",66,2016-2020
Buchanan,30 to 34 years,"1,228",45,2016-2020
Buchanan,35 to 39 years,"1,331",196,2016-2020
Buchanan,40 to 44 years,"1,237",213,2016-2020
Buchanan,45 to 49 years,"1,138",25,2016-2020
Buchanan,50 to 54 years,"1,299",22,2016-2020
Buchanan,55 to 59 years,"1,344",192,2016-2020
Buchanan,60 and 61 years,660,153,2016-2020
Buchanan,62 to 64 years,874,190,2016-2020
Buchanan,65 and 66 years,414,153,2016-2020
Buchanan,67 to 69 years,649,144,2016-2020
Buchanan,70 to 74 years,"1,105",151,2016-2020
Buchanan,75 to 79 years,649,166,2016-2020
Buchanan,80 to 84 years,451,120,2016-2020
Buchanan,85 years and over,537,172,2016-2020
Buena Vista,21 years,519,337,2016-2020
Buena Vista,22 to 24 years,841,197,2016-2020
Buena Vista,25 to 29 years,"1,239",128,2016-2020
Buena Vista,30 to 34 years,"1,247",201,2016-2020
Buena Vista,35 to 39 years,"1,380",230,2016-2020
Buena Vista,40 to 44 years,869,260,2016-2020
Buena Vista,45 to 49 years,"1,045",117,2016-2020
Buena Vista,50 to 54 years,"1,012",83,2016-2020
Buena Vista,55 to 59 years,"1,522",247,2016-2020
Buena Vista,60 and 61 years,426,129,2016-2020
Buena Vista,62 to 64 years,708,161,2016-2020
Buena Vista,65 and 66 years,397,129,2016-2020
Buena Vista,67 to 69 years,580,131,2016-2020
Buena Vista,70 to 74 years,664,168,2016-2020
Buena Vista,75 to 79 years,449,132,2016-2020
Buena Vista,80 to 84 years,299,103,2016-2020
Buena Vista,85 years and over,630,123,2016-2020
Butler,21 years,100,54,2016-2020
Butler,22 to 24 years,404,91,2016-2020
Butler,25 to 29 years,702,48,2016-2020
Butler,30 to 34 years,764,47,2016-2020
Butler,35 to 39 years,837,131,2016-2020
Butler,40 to 44 years,828,125,2016-2020
Butler,45 to 49 years,872,83,2016-2020
Butler,50 to 54 years,914,25,2016-2020
Butler,55 to 59 years,960,135,2016-2020
Butler,60 and 61 years,438,115,2016-2020
Butler,62 to 64 years,698,133,2016-2020
Butler,65 and 66 years,349,102,2016-2020
Butler,67 to 69 years,525,112,2016-2020
Butler,70 to 74 years,853,117,2016-2020
Butler,75 to 79 years,473,86,2016-2020
Butler,80 to 84 years,517,106,2016-2020
Butler,85 years and over,552,110,2016-2020
Calhoun,21 years,74,59,2016-2020
Calhoun,22 to 24 years,408,93,2016-2020
Calhoun,25 to 29 years,528,40,2016-2020
Calhoun,30 to 34 years,556,57,2016-2020
Calhoun,35 to 39 years,617,100,2016-2020
Calhoun,40 to 44 years,475,89,2016-2020
Calhoun,45 to 49 years,460,13,2016-2020
Calhoun,50 to 54 years,639,63,2016-2020
Calhoun,55 to 59 years,612,91,2016-2020
Calhoun,60 and 61 years,349,76,2016-2020
Calhoun,62 to 64 years,498,90,2016-2020
Calhoun,65 and 66 years,394,81,2016-2020
Calhoun,67 to 69 years,300,63,2016-2020
Calhoun,70 to 74 years,411,73,2016-2020
Calhoun,75 to 79 years,376,85,2016-2020
Calhoun,80 to 84 years,316,84,2016-2020
Calhoun,85 years and over,408,97,2016-2020
Carroll,21 years,168,126,2016-2020
Carroll,22 to 24 years,907,259,2016-2020
Carroll,25 to 29 years,998,30,2016-2020
Carroll,30 to 34 years,"1,011",36,2016-2020
Carroll,35 to 39 years,"1,122",223,2016-2020
Carroll,40 to 44 years,"1,133",230,2016-2020
Carroll,45 to 49 years,"1,039",48,2016-2020
Carroll,50 to 54 years,"1,385",101,2016-2020
Carroll,55 to 59 years,"1,601",232,2016-2020
Carroll,60 and 61 years,536,162,2016-2020
Carroll,62 to 64 years,851,207,2016-2020
Carroll,65 and 66 years,534,145,2016-2020
Carroll,67 to 69 years,694,163,2016-2020
Carroll,70 to 74 years,846,181,2016-2020
Carroll,75 to 79 years,731,146,2016-2020
Carroll,80 to 84 years,525,123,2016-2020
Carroll,85 years and over,770,159,2016-2020
Cass,21 years,115,82,2016-2020
Cass,22 to 24 years,386,102,2016-2020
Cass,25 to 29 years,651,24,2016-2020
Cass,30 to 34 years,626,30,2016-2020
Cass,35 to 39 years,670,151,2016-2020
Cass,40 to 44 years,836,190,2016-2020
Cass,45 to 49 years,740,75,2016-2020
Cass,50 to 54 years,766,27,2016-2020
Cass,55 to 59 years,"1,014",215,2016-2020
Cass,60 and 61 years,409,144,2016-2020
Cass,62 to 64 years,629,195,2016-2020
Cass,65 and 66 years,297,101,2016-2020
Cass,67 to 69 years,571,139,2016-2020
Cass,70 to 74 years,682,137,2016-2020
Cass,75 to 79 years,603,119,2016-2020
Cass,80 to 84 years,343,105,2016-2020
Cass,85 years and over,477,110,2016-2020
Cedar,21 years,121,71,2016-2020
Cedar,22 to 24 years,578,154,2016-2020
Cedar,25 to 29 years,987,86,2016-2020
Cedar,30 to 34 years,989,37,2016-2020
Cedar,35 to 39 years,"1,197",194,2016-2020
Cedar,40 to 44 years,"1,070",204,2016-2020
Cedar,45 to 49 years,"1,125",45,2016-2020
Cedar,50 to 54 years,"1,249",51,2016-2020
Cedar,55 to 59 years,"1,374",203,2016-2020
Cedar,60 and 61 years,622,151,2016-2020
Cedar,62 to 64 years,859,187,2016-2020
Cedar,65 and 66 years,305,101,2016-2020
Cedar,67 to 69 years,772,152,2016-2020
Cedar,70 to 74 years,879,151,2016-2020
Cedar,75 to 79 years,528,124,2016-2020
Cedar,80 to 84 years,504,136,2016-2020
Cedar,85 years and over,612,139,2016-2020
Cerro Gordo,21 years,330,184,2016-2020
Cerro Gordo,22 to 24 years,"1,468",304,2016-2020
Cerro Gordo,25 to 29 years,"2,648",202,2016-2020
Cerro Gordo,30 to 34 years,"2,431",196,2016-2020
Cerro Gordo,35 to 39 years,"2,385",381,2016-2020
Cerro Gordo,40 to 44 years,"2,115",368,2016-2020
Cerro Gordo,45 to 49 years,"2,241",95,2016-2020
Cerro Gordo,50 to 54 years,"2,731",119,2016-2020
Cerro Gordo,55 to 59 years,"3,457",438,2016-2020
Cerro Gordo,60 and 61 years,"1,270",306,2016-2020
Cerro Gordo,62 to 64 years,"2,084",348,2016-2020
Cerro Gordo,65 and 66 years,"1,399",278,2016-2020
Cerro Gordo,67 to 69 years,"1,527",302,2016-2020
Cerro Gordo,70 to 74 years,"2,077",293,2016-2020
Cerro Gordo,75 to 79 years,"1,618",280,2016-2020
Cerro Gordo,80 to 84 years,"1,216",279,2016-2020
Cerro Gordo,85 years and over,"1,338",249,2016-2020
Cherokee,21 years,195,146,2016-2020
Cherokee,22 to 24 years,325,151,2016-2020
Cherokee,25 to 29 years,566,45,2016-2020
Cherokee,30 to 34 years,599,79,2016-2020
Cherokee,35 to 39 years,601,180,2016-2020
Cherokee,40 to 44 years,650,206,2016-2020
Cherokee,45 to 49 years,554,33,2016-2020
Cherokee,50 to 54 years,639,30,2016-2020
Cherokee,55 to 59 years,869,162,2016-2020
Cherokee,60 and 61 years,490,144,2016-2020
Cherokee,62 to 64 years,532,139,2016-2020
Cherokee,65 and 66 years,380,119,2016-2020
Cherokee,67 to 69 years,425,127,2016-2020
Cherokee,70 to 74 years,528,135,2016-2020
Cherokee,75 to 79 years,381,95,2016-2020
Cherokee,80 to 84 years,408,106,2016-2020
Cherokee,85 years and over,570,124,2016-2020
Chickasaw,21 years,54,53,2016-2020
Chickasaw,22 to 24 years,641,136,2016-2020
Chickasaw,25 to 29 years,620,69,2016-2020
Chickasaw,30 to 34 years,547,33,2016-2020
Chickasaw,35 to 39 years,689,128,2016-2020
Chickasaw,40 to 44 years,559,123,2016-2020
Chickasaw,45 to 49 years,642,34,2016-2020
Chickasaw,50 to 54 years,782,33,2016-2020
Chickasaw,55 to 59 years,885,158,2016-2020
Chickasaw,60 and 61 years,469,159,2016-2020
Chickasaw,62 to 64 years,559,149,2016-2020
Chickasaw,65 and 66 years,245,83,2016-2020
Chickasaw,67 to 69 years,475,119,2016-2020
Chickasaw,70 to 74 years,613,126,2016-2020
Chickasaw,75 to 79 years,517,116,2016-2020
Chickasaw,80 to 84 years,278,89,2016-2020
Chickasaw,85 years and over,334,93,2016-2020
Clarke,21 years,41,43,2016-2020
Clarke,22 to 24 years,327,156,2016-2020
Clarke,25 to 29 years,502,150,2016-2020
Clarke,30 to 34 years,480,98,2016-2020
Clarke,35 to 39 years,749,224,2016-2020
Clarke,40 to 44 years,451,169,2016-2020
Clarke,45 to 49 years,535,127,2016-2020
Clarke,50 to 54 years,601,111,2016-2020
Clarke,55 to 59 years,714,201,2016-2020
Clarke,60 and 61 years,252,126,2016-2020
Clarke,62 to 64 years,439,150,2016-2020
Clarke,65 and 66 years,223,100,2016-2020
Clarke,67 to 69 years,412,134,2016-2020
Clarke,70 to 74 years,303,112,2016-2020
Clarke,75 to 79 years,358,109,2016-2020
Clarke,80 to 84 years,158,89,2016-2020
Clarke,85 years and over,233,114,2016-2020
Clay,21 years,114,86,2016-2020
Clay,22 to 24 years,689,140,2016-2020
Clay,25 to 29 years,874,69,2016-2020
Clay,30 to 34 years,927,82,2016-2020
Clay,35 to 39 years,"1,021",204,2016-2020
Clay,40 to 44 years,808,188,2016-2020
Clay,45 to 49 years,848,23,2016-2020
Clay,50 to 54 years,987,81,2016-2020
Clay,55 to 59 years,"1,036",220,2016-2020
Clay,60 and 61 years,365,135,2016-2020
Clay,62 to 64 years,973,223,2016-2020
Clay,65 and 66 years,398,150,2016-2020
