County,Poverty ,Year
Jones,9.5,2017
Jones,9.5,2018
Jones,9.5,2019
Jones,9.5,2020
Keokuk,12.3,2016
Keokuk,12.3,2017
Keokuk,12.3,2018
Keokuk,12.3,2019
Keokuk,12.3,2020
Kossuth,11.3,2016
Kossuth,11.3,2017
Kossuth,11.3,2018
Kossuth,11.3,2019
Kossuth,11.3,2020
Lee,12.4,2016
Lee,12.4,2017
Lee,12.4,2018
Lee,12.4,2019
Lee,12.4,2020
Linn,9.4,2016
Linn,9.4,2017
Linn,9.4,2018
Linn,9.4,2019
Linn,9.4,2020
Louisa,9.1,2016
Louisa,9.1,2017
Louisa,9.1,2018
Louisa,9.1,2019
Louisa,9.1,2020
Lucas,14.4,2016
Lucas,14.4,2017
Lucas,14.4,2018
Lucas,14.4,2019
Lucas,14.4,2020
Lyon,4.7,2016
Lyon,4.7,2017
Lyon,4.7,2018
Lyon,4.7,2019
Lyon,4.7,2020
Madison,5.8,2016
Madison,5.8,2017
Madison,5.8,2018
Madison,5.8,2019
Madison,5.8,2020
Mahaska,12.7,2016
Mahaska,12.7,2017
Mahaska,12.7,2018
Mahaska,12.7,2019
Mahaska,12.7,2020
Marion,7.3,2016
Marion,7.3,2017
Marion,7.3,2018
Marion,7.3,2019
Marion,7.3,2020
Marshall,11.6,2016
Marshall,11.6,2017
Marshall,11.6,2018
Marshall,11.6,2019
Marshall,11.6,2020
Mills,6.9,2016
Mills,6.9,2017
Mills,6.9,2018
Mills,6.9,2019
Mills,6.9,2020
Mitchell,6.7,2016
Mitchell,6.7,2017
Mitchell,6.7,2018
Mitchell,6.7,2019
Mitchell,6.7,2020
Monona,12.8,2016
Monona,12.8,2017
Monona,12.8,2018
Monona,12.8,2019
Monona,12.8,2020
Monroe,13.2,2016
Monroe,13.2,2017
Monroe,13.2,2018
Monroe,13.2,2019
Monroe,13.2,2020
Montgomery,12.5,2016
Montgomery,12.5,2017
Montgomery,12.5,2018
Montgomery,12.5,2019
Montgomery,12.5,2020
Muscatine,9.6,2016
Muscatine,9.6,2017
Muscatine,9.6,2018
Muscatine,9.6,2019
Muscatine,9.6,2020
O'Brien,11.1,2016
O'Brien,11.1,2017
O'Brien,11.1,2018
O'Brien,11.1,2019
O'Brien,11.1,2020
Osceola,12.2,2016
Osceola,12.2,2017
Osceola,12.2,2018
Osceola,12.2,2019
Osceola,12.2,2020
Page,12.4,2016
Page,12.4,2017
Page,12.4,2018
Page,12.4,2019
Page,12.4,2020
Palo Alto,5.7,2016
Palo Alto,5.7,2017
Palo Alto,5.7,2018
Palo Alto,5.7,2019
Palo Alto,5.7,2020
Plymouth,7.2,2016
Plymouth,7.2,2017
Plymouth,7.2,2018
Plymouth,7.2,2019
Plymouth,7.2,2020
Pocahontas,11.2,2016
Pocahontas,11.2,2017
Pocahontas,11.2,2018
Pocahontas,11.2,2019
Pocahontas,11.2,2020
Polk,10.4,2016
Polk,10.4,2017
Polk,10.4,2018
Polk,10.4,2019
Polk,10.4,2020
Pottawattamie,10.3,2016
Pottawattamie,10.3,2017
Pottawattamie,10.3,2018
Pottawattamie,10.3,2019
Pottawattamie,10.3,2020
Poweshiek,10.9,2016
Poweshiek,10.9,2017
Poweshiek,10.9,2018
Poweshiek,10.9,2019
Poweshiek,10.9,2020
Ringgold,10.0,2016
Ringgold,10.0,2017
Ringgold,10.0,2018
Ringgold,10.0,2019
Ringgold,10.0,2020
Sac,10.5,2016
Sac,10.5,2017
Sac,10.5,2018
Sac,10.5,2019
Sac,10.5,2020
Scott,11.9,2016
Scott,11.9,2017
Scott,11.9,2018
Scott,11.9,2019
Scott,11.9,2020
Shelby,8.9,2016
Shelby,8.9,2017
Shelby,8.9,2018
Shelby,8.9,2019
Shelby,8.9,2020
Sioux,5.5,2016
Sioux,5.5,2017
Sioux,5.5,2018
Sioux,5.5,2019
Sioux,5.5,2020
Story,20.0,2016
Story,20.0,2017
Story,20.0,2018
Story,20.0,2019
Story,20.0,2020
Tama,12.6,2016
Tama,12.6,2017
Tama,12.6,2018
Tama,12.6,2019
Tama,12.6,2020
Taylor,7.1,2016
Taylor,7.1,2017
Taylor,7.1,2018
Taylor,7.1,2019
Taylor,7.1,2020
Union,11.9,2016
Union,11.9,2017
Union,11.9,2018
Union,11.9,2019
Union,11.9,2020
Van Buren,13.1,2016
Van Buren,13.1,2017
Van Buren,13.1,2018
Van Buren,13.1,2019
Van Buren,13.1,2020
Wapello,16.6,2016
Wapello,16.6,2017
Wapello,16.6,2018
Wapello,16.6,2019
Wapello,16.6,2020
Warren,6.7,2016
Warren,6.7,2017
Warren,6.7,2018
Warren,6.7,2019
Warren,6.7,2020
Washington,8.2,2016
Washington,8.2,2017
Washington,8.2,2018
Washington,8.2,2019
Washington,8.2,2020
Wayne,16.0,2016
Wayne,16.0,2017
Wayne,16.0,2018
Wayne,16.0,2019
Wayne,16.0,2020
Webster,14.3,2016
Webster,14.3,2017
Webster,14.3,2018
Webster,14.3,2019
Webster,14.3,2020
Winnebago,6.9,2016
Winnebago,6.9,2017
Winnebago,6.9,2018
Winnebago,6.9,2019
Winnebago,6.9,2020
Winneshiek,8.8,2016
Winneshiek,8.8,2017
Winneshiek,8.8,2018
Winneshiek,8.8,2019
Winneshiek,8.8,2020
Woodbury,12.4,2016
Woodbury,12.4,2017
Woodbury,12.4,2018
Woodbury,12.4,2019
Woodbury,12.4,2020
Worth,5.3,2016
Worth,5.3,2017
Worth,5.3,2018
Worth,5.3,2019
Worth,5.3,2020
Wright,13.4,2016
Wright,13.4,2017
Wright,13.4,2018
Wright,13.4,2019
Wright,13.4,2020
Adair,10.6,2011
Adair,10.6,2012
Adair,10.6,2013
Adair,10.6,2014
Adair,10.6,2015
Adams,10.2,2011
Adams,10.2,2012
Adams,10.2,2013
Adams,10.2,2014
Adams,10.2,2015
Allamakee,10.9,2011
Allamakee,10.9,2012
Allamakee,10.9,2013
Allamakee,10.9,2014
Allamakee,10.9,2015
Appanoose,13.7,2011
Appanoose,13.7,2012
Appanoose,13.7,2013
Appanoose,13.7,2014
Appanoose,13.7,2015
Audubon,9.7,2011
Audubon,9.7,2012
Audubon,9.7,2013
Audubon,9.7,2014
Audubon,9.7,2015
Benton,9.6,2011
Benton,9.6,2012
Benton,9.6,2013
Benton,9.6,2014
Benton,9.6,2015
Black Hawk,15.7,2011
Black Hawk,15.7,2012
Black Hawk,15.7,2013
Black Hawk,15.7,2014
Black Hawk,15.7,2015
Boone,10.1,2011
Boone,10.1,2012
Boone,10.1,2013
Boone,10.1,2014
Boone,10.1,2015
Bremer,8.3,2011
Bremer,8.3,2012
Bremer,8.3,2013
Bremer,8.3,2014
Bremer,8.3,2015
Buchanan,9.5,2011
Buchanan,9.5,2012
Buchanan,9.5,2013
Buchanan,9.5,2014
Buchanan,9.5,2015
Buena Vista,12.6,2011
Buena Vista,12.6,2012
Buena Vista,12.6,2013
Buena Vista,12.6,2014
Buena Vista,12.6,2015
Butler,9.0,2011
Butler,9.0,2012
Butler,9.0,2013
Butler,9.0,2014
Butler,9.0,2015
Calhoun,14.8,2011
Calhoun,14.8,2012
Calhoun,14.8,2013
Calhoun,14.8,2014
Calhoun,14.8,2015
Carroll,10.1,2011
Carroll,10.1,2012
Carroll,10.1,2013
Carroll,10.1,2014
Carroll,10.1,2015
Cass,13.9,2011
Cass,13.9,2012
Cass,13.9,2013
Cass,13.9,2014
Cass,13.9,2015
Cedar,7.7,2011
Cedar,7.7,2012
Cedar,7.7,2013
Cedar,7.7,2014
Cedar,7.7,2015
Cerro Gordo,13.4,2011
Cerro Gordo,13.4,2012
Cerro Gordo,13.4,2013
