"County","Year","HighIncome","LowIncome","MidIncome"
"Chickasaw",2016,588,691,2042
"Chickasaw",2017,588,691,2042
"Chickasaw",2018,588,691,2042
"Chickasaw",2019,588,691,2042
"Chickasaw",2020,588,691,2042
"Clarke",2011,219,650,1497
"Clarke",2012,219,650,1497
"Clarke",2013,219,650,1497
"Clarke",2014,219,650,1497
"Clarke",2015,219,650,1497
"Clarke",2016,314,582,1541
"Clarke",2017,314,582,1541
"Clarke",2018,314,582,1541
"Clarke",2019,314,582,1541
"Clarke",2020,314,582,1541
"Clay",2011,494,1163,2887
"Clay",2012,494,1163,2887
"Clay",2013,494,1163,2887
"Clay",2014,494,1163,2887
"Clay",2015,494,1163,2887
"Clay",2016,643,1051,2679
"Clay",2017,643,1051,2679
"Clay",2018,643,1051,2679
"Clay",2019,643,1051,2679
"Clay",2020,643,1051,2679
"Clayton",2011,419,1424,3173
"Clayton",2012,419,1424,3173
"Clayton",2013,419,1424,3173
"Clayton",2014,419,1424,3173
"Clayton",2015,419,1424,3173
"Clayton",2016,730,981,3009
"Clayton",2017,730,981,3009
"Clayton",2018,730,981,3009
"Clayton",2019,730,981,3009
"Clayton",2020,730,981,3009
"Clinton",2011,1827,3698,7368
"Clinton",2012,1827,3698,7368
"Clinton",2013,1827,3698,7368
"Clinton",2014,1827,3698,7368
"Clinton",2015,1827,3698,7368
"Clinton",2016,1986,2773,7288
"Clinton",2017,1986,2773,7288
"Clinton",2018,1986,2773,7288
"Clinton",2019,1986,2773,7288
"Clinton",2020,1986,2773,7288
"Crawford",2011,407,1490,2552
"Crawford",2012,407,1490,2552
"Crawford",2013,407,1490,2552
"Crawford",2014,407,1490,2552
"Crawford",2015,407,1490,2552
"Crawford",2016,667,1186,2662
"Crawford",2017,667,1186,2662
"Crawford",2018,667,1186,2662
"Crawford",2019,667,1186,2662
"Crawford",2020,667,1186,2662
"Dallas",2011,6232,2894,10751
"Dallas",2012,6232,2894,10751
"Dallas",2013,6232,2894,10751
"Dallas",2014,6232,2894,10751
"Dallas",2015,6232,2894,10751
"Dallas",2016,10628,2255,10624
"Dallas",2017,10628,2255,10624
"Dallas",2018,10628,2255,10624
"Dallas",2019,10628,2255,10624
"Dallas",2020,10628,2255,10624
"Davis",2011,238,681,1338
"Davis",2012,238,681,1338
"Davis",2013,238,681,1338
"Davis",2014,238,681,1338
"Davis",2015,238,681,1338
"Davis",2016,518,350,1531
"Davis",2017,518,350,1531
"Davis",2018,518,350,1531
"Davis",2019,518,350,1531
"Davis",2020,518,350,1531
"Decatur",2011,102,788,1151
"Decatur",2012,102,788,1151
"Decatur",2013,102,788,1151
"Decatur",2014,102,788,1151
"Decatur",2015,102,788,1151
"Decatur",2016,215,639,1179
"Decatur",2017,215,639,1179
"Decatur",2018,215,639,1179
"Decatur",2019,215,639,1179
"Decatur",2020,215,639,1179
"Delaware",2011,698,1174,3130
"Delaware",2012,698,1174,3130
"Delaware",2013,698,1174,3130
"Delaware",2014,698,1174,3130
"Delaware",2015,698,1174,3130
"Delaware",2016,1066,855,2829
"Delaware",2017,1066,855,2829
"Delaware",2018,1066,855,2829
"Delaware",2019,1066,855,2829
"Delaware",2020,1066,855,2829
"Des Moines",2011,1130,3460,6162
"Des Moines",2012,1130,3460,6162
"Des Moines",2013,1130,3460,6162
"Des Moines",2014,1130,3460,6162
"Des Moines",2015,1130,3460,6162
"Des Moines",2016,1872,2770,5862
"Des Moines",2017,1872,2770,5862
"Des Moines",2018,1872,2770,5862
"Des Moines",2019,1872,2770,5862
"Des Moines",2020,1872,2770,5862
"Dickinson",2011,1000,941,3221
"Dickinson",2012,1000,941,3221
"Dickinson",2013,1000,941,3221
"Dickinson",2014,1000,941,3221
"Dickinson",2015,1000,941,3221
"Dickinson",2016,1136,960,2906
"Dickinson",2017,1136,960,2906
"Dickinson",2018,1136,960,2906
"Dickinson",2019,1136,960,2906
"Dickinson",2020,1136,960,2906
"Dubuque",2011,3311,5725,15778
"Dubuque",2012,3311,5725,15778
"Dubuque",2013,3311,5725,15778
"Dubuque",2014,3311,5725,15778
"Dubuque",2015,3311,5725,15778
"Dubuque",2016,5821,4111,15256
"Dubuque",2017,5821,4111,15256
"Dubuque",2018,5821,4111,15256
"Dubuque",2019,5821,4111,15256
"Dubuque",2020,5821,4111,15256
"Emmet",2011,309,788,1497
"Emmet",2012,309,788,1497
"Emmet",2013,309,788,1497
"Emmet",2014,309,788,1497
"Emmet",2015,309,788,1497
"Emmet",2016,330,485,1512
"Emmet",2017,330,485,1512
"Emmet",2018,330,485,1512
"Emmet",2019,330,485,1512
"Emmet",2020,330,485,1512
"Fayette",2011,456,1664,3334
"Fayette",2012,456,1664,3334
"Fayette",2013,456,1664,3334
"Fayette",2014,456,1664,3334
"Fayette",2015,456,1664,3334
"Fayette",2016,689,1171,3172
"Fayette",2017,689,1171,3172
"Fayette",2018,689,1171,3172
"Fayette",2019,689,1171,3172
"Fayette",2020,689,1171,3172
"Floyd",2011,468,1481,2561
"Floyd",2012,468,1481,2561
"Floyd",2013,468,1481,2561
"Floyd",2014,468,1481,2561
"Floyd",2015,468,1481,2561
"Floyd",2016,696,841,2599
"Floyd",2017,696,841,2599
"Floyd",2018,696,841,2599
"Floyd",2019,696,841,2599
"Floyd",2020,696,841,2599
"Franklin",2011,311,890,1743
"Franklin",2012,311,890,1743
"Franklin",2013,311,890,1743
"Franklin",2014,311,890,1743
"Franklin",2015,311,890,1743
"Franklin",2016,361,807,1690
"Franklin",2017,361,807,1690
"Franklin",2018,361,807,1690
"Franklin",2019,361,807,1690
"Franklin",2020,361,807,1690
"Fremont",2011,329,500,1199
"Fremont",2012,329,500,1199
"Fremont",2013,329,500,1199
"Fremont",2014,329,500,1199
"Fremont",2015,329,500,1199
"Fremont",2016,402,372,1134
"Fremont",2017,402,372,1134
"Fremont",2018,402,372,1134
"Fremont",2019,402,372,1134
"Fremont",2020,402,372,1134
"Greene",2011,313,760,1590
"Greene",2012,313,760,1590
"Greene",2013,313,760,1590
"Greene",2014,313,760,1590
"Greene",2015,313,760,1590
"Greene",2016,442,571,1472
"Greene",2017,442,571,1472
"Greene",2018,442,571,1472
"Greene",2019,442,571,1472
"Greene",2020,442,571,1472
"Grundy",2011,496,695,2373
"Grundy",2012,496,695,2373
"Grundy",2013,496,695,2373
"Grundy",2014,496,695,2373
"Grundy",2015,496,695,2373
"Grundy",2016,797,507,2290
