"County","Year","HighIncome","LowIncome","MidIncome"
"Shelby",2012,435,728,1981
"Shelby",2013,435,728,1981
"Shelby",2014,435,728,1981
"Shelby",2015,435,728,1981
"Shelby",2016,731,707,1775
"Shelby",2017,731,707,1775
"Shelby",2018,731,707,1775
"Shelby",2019,731,707,1775
"Shelby",2020,731,707,1775
"Sioux",2011,1478,1809,5558
"Sioux",2012,1478,1809,5558
"Sioux",2013,1478,1809,5558
"Sioux",2014,1478,1809,5558
"Sioux",2015,1478,1809,5558
"Sioux",2016,1823,1090,6053
"Sioux",2017,1823,1090,6053
"Sioux",2018,1823,1090,6053
"Sioux",2019,1823,1090,6053
"Sioux",2020,1823,1090,6053
"Story",2011,3898,3678,11319
"Story",2012,3898,3678,11319
"Story",2013,3898,3678,11319
"Story",2014,3898,3678,11319
"Story",2015,3898,3678,11319
"Story",2016,5914,2901,10096
"Story",2017,5914,2901,10096
"Story",2018,5914,2901,10096
"Story",2019,5914,2901,10096
"Story",2020,5914,2901,10096
"Tama",2011,648,1047,3150
"Tama",2012,648,1047,3150
"Tama",2013,648,1047,3150
"Tama",2014,648,1047,3150
"Tama",2015,648,1047,3150
"Tama",2016,710,940,2744
"Tama",2017,710,940,2744
"Tama",2018,710,940,2744
"Tama",2019,710,940,2744
"Tama",2020,710,940,2744
"Taylor",2011,153,651,1052
"Taylor",2012,153,651,1052
"Taylor",2013,153,651,1052
"Taylor",2014,153,651,1052
"Taylor",2015,153,651,1052
"Taylor",2016,269,326,996
"Taylor",2017,269,326,996
"Taylor",2018,269,326,996
"Taylor",2019,269,326,996
"Taylor",2020,269,326,996
"Union",2011,329,906,2019
"Union",2012,329,906,2019
"Union",2013,329,906,2019
"Union",2014,329,906,2019
"Union",2015,329,906,2019
"Union",2016,567,787,1785
"Union",2017,567,787,1785
"Union",2018,567,787,1785
"Union",2019,567,787,1785
"Union",2020,567,787,1785
"Van Buren",2011,178,616,1259
"Van Buren",2012,178,616,1259
"Van Buren",2013,178,616,1259
"Van Buren",2014,178,616,1259
"Van Buren",2015,178,616,1259
"Van Buren",2016,249,500,1180
"Van Buren",2017,249,500,1180
"Van Buren",2018,249,500,1180
"Van Buren",2019,249,500,1180
"Van Buren",2020,249,500,1180
"Wapello",2011,869,3327,5262
"Wapello",2012,869,3327,5262
"Wapello",2013,869,3327,5262
"Wapello",2014,869,3327,5262
"Wapello",2015,869,3327,5262
"Wapello",2016,1206,3006,5121
"Wapello",2017,1206,3006,5121
"Wapello",2018,1206,3006,5121
"Wapello",2019,1206,3006,5121
"Wapello",2020,1206,3006,5121
"Warren",2011,2463,2642,8088
"Warren",2012,2463,2642,8088
"Warren",2013,2463,2642,8088
"Warren",2014,2463,2642,8088
"Warren",2015,2463,2642,8088
"Warren",2016,4192,1595,7576
"Warren",2017,4192,1595,7576
"Warren",2018,4192,1595,7576
"Warren",2019,4192,1595,7576
"Warren",2020,4192,1595,7576
"Washington",2011,671,1374,3911
"Washington",2012,671,1374,3911
"Washington",2013,671,1374,3911
"Washington",2014,671,1374,3911
"Washington",2015,671,1374,3911
"Washington",2016,1041,1066,4176
"Washington",2017,1041,1066,4176
"Washington",2018,1041,1066,4176
"Washington",2019,1041,1066,4176
"Washington",2020,1041,1066,4176
"Wayne",2011,147,523,992
"Wayne",2012,147,523,992
"Wayne",2013,147,523,992
"Wayne",2014,147,523,992
"Wayne",2015,147,523,992
"Wayne",2016,188,431,1064
"Wayne",2017,188,431,1064
"Wayne",2018,188,431,1064
"Wayne",2019,188,431,1064
"Wayne",2020,188,431,1064
"Webster",2011,1120,3065,4929
"Webster",2012,1120,3065,4929
"Webster",2013,1120,3065,4929
"Webster",2014,1120,3065,4929
"Webster",2015,1120,3065,4929
"Webster",2016,1334,2501,5051
"Webster",2017,1334,2501,5051
"Webster",2018,1334,2501,5051
"Webster",2019,1334,2501,5051
"Webster",2020,1334,2501,5051
"Winnebago",2011,306,778,1818
"Winnebago",2012,306,778,1818
"Winnebago",2013,306,778,1818
"Winnebago",2014,306,778,1818
"Winnebago",2015,306,778,1818
"Winnebago",2016,405,511,1711
"Winnebago",2017,405,511,1711
"Winnebago",2018,405,511,1711
"Winnebago",2019,405,511,1711
"Winnebago",2020,405,511,1711
"Winneshiek",2011,683,1199,3557
"Winneshiek",2012,683,1199,3557
"Winneshiek",2013,683,1199,3557
"Winneshiek",2014,683,1199,3557
"Winneshiek",2015,683,1199,3557
"Winneshiek",2016,1132,954,3183
"Winneshiek",2017,1132,954,3183
"Winneshiek",2018,1132,954,3183
"Winneshiek",2019,1132,954,3183
"Winneshiek",2020,1132,954,3183
"Woodbury",2011,2549,8135,14849
"Woodbury",2012,2549,8135,14849
"Woodbury",2013,2549,8135,14849
"Woodbury",2014,2549,8135,14849
"Woodbury",2015,2549,8135,14849
"Woodbury",2016,4785,6406,14619
"Woodbury",2017,4785,6406,14619
"Woodbury",2018,4785,6406,14619
"Woodbury",2019,4785,6406,14619
"Woodbury",2020,4785,6406,14619
"Worth",2011,206,563,1384
"Worth",2012,206,563,1384
"Worth",2013,206,563,1384
"Worth",2014,206,563,1384
"Worth",2015,206,563,1384
"Worth",2016,403,378,1319
"Worth",2017,403,378,1319
"Worth",2018,403,378,1319
"Worth",2019,403,378,1319
"Worth",2020,403,378,1319
"Wright",2011,446,1125,1819
"Wright",2012,446,1125,1819
"Wright",2013,446,1125,1819
"Wright",2014,446,1125,1819
"Wright",2015,446,1125,1819
"Wright",2016,455,959,2009
"Wright",2017,455,959,2009
"Wright",2018,455,959,2009
"Wright",2019,455,959,2009
"Wright",2020,455,959,2009
