County,Age,Age Group Estimate,Age Group ME,Year
Allamakee,Middle-Old,691,30,2016
Allamakee,Middle-Old,691,30,2017
Allamakee,Middle-Old,691,30,2018
Allamakee,Middle-Old,691,30,2019
Allamakee,Middle-Old,691,30,2020
Allamakee,Middle-Old,911,103,2016
Allamakee,Middle-Old,911,103,2017
Allamakee,Middle-Old,911,103,2018
Allamakee,Middle-Old,911,103,2019
Allamakee,Middle-Old,911,103,2020
Allamakee,Middle-Old,"1,131",182,2016
Allamakee,Middle-Old,"1,131",182,2017
Allamakee,Middle-Old,"1,131",182,2018
Allamakee,Middle-Old,"1,131",182,2019
Allamakee,Middle-Old,"1,131",182,2020
Allamakee,Old,422,125,2016
Allamakee,Old,422,125,2017
Allamakee,Old,422,125,2018
Allamakee,Old,422,125,2019
Allamakee,Old,422,125,2020
Allamakee,Old,565,141,2016
Allamakee,Old,565,141,2017
Allamakee,Old,565,141,2018
Allamakee,Old,565,141,2019
Allamakee,Old,565,141,2020
Allamakee,Old,432,138,2016
Allamakee,Old,432,138,2017
Allamakee,Old,432,138,2018
Allamakee,Old,432,138,2019
Allamakee,Old,432,138,2020
Allamakee,Old,684,151,2016
Allamakee,Old,684,151,2017
Allamakee,Old,684,151,2018
Allamakee,Old,684,151,2019
Allamakee,Old,684,151,2020
Allamakee,Old,602,132,2016
Allamakee,Old,602,132,2017
Allamakee,Old,602,132,2018
Allamakee,Old,602,132,2019
Allamakee,Old,602,132,2020
Allamakee,Old,448,121,2016
Allamakee,Old,448,121,2017
Allamakee,Old,448,121,2018
Allamakee,Old,448,121,2019
Allamakee,Old,448,121,2020
Allamakee,Old,409,115,2016
Allamakee,Old,409,115,2017
Allamakee,Old,409,115,2018
Allamakee,Old,409,115,2019
Allamakee,Old,409,115,2020
Allamakee,Old,536,139,2016
Allamakee,Old,536,139,2017
Allamakee,Old,536,139,2018
Allamakee,Old,536,139,2019
Allamakee,Old,536,139,2020
Appanoose,Young,78,78,2016
Appanoose,Young,78,78,2017
Appanoose,Young,78,78,2018
Appanoose,Young,78,78,2019
Appanoose,Young,78,78,2020
Appanoose,Young,330,106,2016
Appanoose,Young,330,106,2017
Appanoose,Young,330,106,2018
Appanoose,Young,330,106,2019
Appanoose,Young,330,106,2020
Appanoose,Young,643,66,2016
Appanoose,Young,643,66,2017
Appanoose,Young,643,66,2018
Appanoose,Young,643,66,2019
Appanoose,Young,643,66,2020
Appanoose,Middle-Young,606,30,2016
Appanoose,Middle-Young,606,30,2017
Appanoose,Middle-Young,606,30,2018
Appanoose,Middle-Young,606,30,2019
Appanoose,Middle-Young,606,30,2020
Appanoose,Middle-Young,743,148,2016
Appanoose,Middle-Young,743,148,2017
Appanoose,Middle-Young,743,148,2018
Appanoose,Middle-Young,743,148,2019
Appanoose,Middle-Young,743,148,2020
Appanoose,Middle-Young,534,149,2016
Appanoose,Middle-Young,534,149,2017
Appanoose,Middle-Young,534,149,2018
Appanoose,Middle-Young,534,149,2019
Appanoose,Middle-Young,534,149,2020
Appanoose,Middle-Old,753,68,2016
Appanoose,Middle-Old,753,68,2017
Appanoose,Middle-Old,753,68,2018
Appanoose,Middle-Old,753,68,2019
Appanoose,Middle-Old,753,68,2020
Appanoose,Middle-Old,825,69,2016
Appanoose,Middle-Old,825,69,2017
Appanoose,Middle-Old,825,69,2018
Appanoose,Middle-Old,825,69,2019
Appanoose,Middle-Old,825,69,2020
Appanoose,Middle-Old,849,181,2016
Appanoose,Middle-Old,849,181,2017
Appanoose,Middle-Old,849,181,2018
Appanoose,Middle-Old,849,181,2019
Appanoose,Middle-Old,849,181,2020
Appanoose,Old,448,143,2016
Appanoose,Old,448,143,2017
Appanoose,Old,448,143,2018
Appanoose,Old,448,143,2019
Appanoose,Old,448,143,2020
Appanoose,Old,566,165,2016
Appanoose,Old,566,165,2017
Appanoose,Old,566,165,2018
Appanoose,Old,566,165,2019
Appanoose,Old,566,165,2020
Appanoose,Old,305,94,2016
Appanoose,Old,305,94,2017
Appanoose,Old,305,94,2018
Appanoose,Old,305,94,2019
Appanoose,Old,305,94,2020
Appanoose,Old,374,120,2016
Appanoose,Old,374,120,2017
Appanoose,Old,374,120,2018
Appanoose,Old,374,120,2019
Appanoose,Old,374,120,2020
Appanoose,Old,878,154,2016
Appanoose,Old,878,154,2017
Appanoose,Old,878,154,2018
Appanoose,Old,878,154,2019
Appanoose,Old,878,154,2020
Appanoose,Old,459,130,2016
Appanoose,Old,459,130,2017
Appanoose,Old,459,130,2018
Appanoose,Old,459,130,2019
Appanoose,Old,459,130,2020
Appanoose,Old,412,111,2016
Appanoose,Old,412,111,2017
Appanoose,Old,412,111,2018
Appanoose,Old,412,111,2019
Appanoose,Old,412,111,2020
Appanoose,Old,457,120,2016
Appanoose,Old,457,120,2017
Appanoose,Old,457,120,2018
Appanoose,Old,457,120,2019
Appanoose,Old,457,120,2020
Audubon,Young,5,26,2016
Audubon,Young,5,26,2017
Audubon,Young,5,26,2018
Audubon,Young,5,26,2019
Audubon,Young,5,26,2020
Audubon,Young,262,97,2016
Audubon,Young,262,97,2017
Audubon,Young,262,97,2018
Audubon,Young,262,97,2019
Audubon,Young,262,97,2020
Audubon,Young,267,6,2016
Audubon,Young,267,6,2017
Audubon,Young,267,6,2018
Audubon,Young,267,6,2019
Audubon,Young,267,6,2020
Audubon,Middle-Young,235,22,2016
Audubon,Middle-Young,235,22,2017
Audubon,Middle-Young,235,22,2018
Audubon,Middle-Young,235,22,2019
Audubon,Middle-Young,235,22,2020
Audubon,Middle-Young,278,64,2016
Audubon,Middle-Young,278,64,2017
Audubon,Middle-Young,278,64,2018
Audubon,Middle-Young,278,64,2019
Audubon,Middle-Young,278,64,2020
Audubon,Middle-Young,283,72,2016
Audubon,Middle-Young,283,72,2017
Audubon,Middle-Young,283,72,2018
Audubon,Middle-Young,283,72,2019
Audubon,Middle-Young,283,72,2020
Audubon,Middle-Old,271,28,2016
Audubon,Middle-Old,271,28,2017
Audubon,Middle-Old,271,28,2018
Audubon,Middle-Old,271,28,2019
Audubon,Middle-Old,271,28,2020
Audubon,Middle-Old,360,28,2016
Audubon,Middle-Old,360,28,2017
Audubon,Middle-Old,360,28,2018
Audubon,Middle-Old,360,28,2019
Audubon,Middle-Old,360,28,2020
