County,Poverty ,Year,Middle-Old,Middle-Young,Old,Young,Population,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME,HighIncome,LowIncome,MidIncome
Benton,8.80,2019.00,5505.00,4417.00,6568.00,2327.00,25544.00,24651.00,147.00,94.00,45.00,40.00,35.00,100.00,31.00,0.00,18.00,186.00,113.00,487.00,120.00,1549.00,1232.00,4480.00
Benton,8.80,2020.00,5505.00,4417.00,6568.00,2327.00,25414.00,24651.00,147.00,94.00,45.00,40.00,35.00,100.00,31.00,0.00,18.00,186.00,113.00,487.00,120.00,1549.00,1232.00,4480.00
Black Hawk,15.50,2016.00,21472.00,22834.00,30209.00,20148.00,133144.00,109478.00,571.00,12674.00,462.00,523.00,149.00,3558.00,154.00,367.00,200.00,1412.00,397.00,3801.00,649.00,6573.00,7735.00,17021.00
Black Hawk,15.50,2017.00,21472.00,22834.00,30209.00,20148.00,132278.00,109478.00,571.00,12674.00,462.00,523.00,149.00,3558.00,154.00,367.00,200.00,1412.00,397.00,3801.00,649.00,6573.00,7735.00,17021.00
Black Hawk,15.50,2018.00,21472.00,22834.00,30209.00,20148.00,131769.00,109478.00,571.00,12674.00,462.00,523.00,149.00,3558.00,154.00,367.00,200.00,1412.00,397.00,3801.00,649.00,6573.00,7735.00,17021.00
Black Hawk,15.50,2019.00,21472.00,22834.00,30209.00,20148.00,131089.00,109478.00,571.00,12674.00,462.00,523.00,149.00,3558.00,154.00,367.00,200.00,1412.00,397.00,3801.00,649.00,6573.00,7735.00,17021.00
Black Hawk,15.50,2020.00,21472.00,22834.00,30209.00,20148.00,130786.00,109478.00,571.00,12674.00,462.00,523.00,149.00,3558.00,154.00,367.00,200.00,1412.00,397.00,3801.00,649.00,6573.00,7735.00,17021.00
Boone,7.20,2016.00,5326.00,4895.00,6791.00,2957.00,26434.00,25259.00,145.00,299.00,164.00,133.00,135.00,68.00,55.00,69.00,111.00,174.00,138.00,379.00,156.00,1617.00,998.00,4461.00
Boone,7.20,2017.00,5326.00,4895.00,6791.00,2957.00,26498.00,25259.00,145.00,299.00,164.00,133.00,135.00,68.00,55.00,69.00,111.00,174.00,138.00,379.00,156.00,1617.00,998.00,4461.00
Boone,7.20,2018.00,5326.00,4895.00,6791.00,2957.00,26356.00,25259.00,145.00,299.00,164.00,133.00,135.00,68.00,55.00,69.00,111.00,174.00,138.00,379.00,156.00,1617.00,998.00,4461.00
Boone,7.20,2019.00,5326.00,4895.00,6791.00,2957.00,26338.00,25259.00,145.00,299.00,164.00,133.00,135.00,68.00,55.00,69.00,111.00,174.00,138.00,379.00,156.00,1617.00,998.00,4461.00
Boone,7.20,2020.00,5326.00,4895.00,6791.00,2957.00,26277.00,25259.00,145.00,299.00,164.00,133.00,135.00,68.00,55.00,69.00,111.00,174.00,138.00,379.00,156.00,1617.00,998.00,4461.00
Bremer,7.10,2016.00,4518.00,4391.00,6328.00,2763.00,24796.00,23942.00,77.00,263.00,71.00,66.00,58.00,279.00,52.00,15.00,30.00,86.00,50.00,381.00,94.00,1541.00,869.00,4335.00
Bremer,7.10,2017.00,4518.00,4391.00,6328.00,2763.00,24861.00,23942.00,77.00,263.00,71.00,66.00,58.00,279.00,52.00,15.00,30.00,86.00,50.00,381.00,94.00,1541.00,869.00,4335.00
Bremer,7.10,2018.00,4518.00,4391.00,6328.00,2763.00,25022.00,23942.00,77.00,263.00,71.00,66.00,58.00,279.00,52.00,15.00,30.00,86.00,50.00,381.00,94.00,1541.00,869.00,4335.00
Bremer,7.10,2019.00,4518.00,4391.00,6328.00,2763.00,25170.00,23942.00,77.00,263.00,71.00,66.00,58.00,279.00,52.00,15.00,30.00,86.00,50.00,381.00,94.00,1541.00,869.00,4335.00
Bremer,7.10,2020.00,4518.00,4391.00,6328.00,2763.00,25311.00,23942.00,77.00,263.00,71.00,66.00,58.00,279.00,52.00,15.00,30.00,86.00,50.00,381.00,94.00,1541.00,869.00,4335.00
Buchanan,7.40,2016.00,3781.00,3796.00,5339.00,1936.00,20999.00,20533.00,74.00,30.00,21.00,44.00,39.00,73.00,96.00,2.00,4.00,3.00,5.00,456.00,126.00,1178.00,1075.00,3375.00
Buchanan,7.40,2017.00,3781.00,3796.00,5339.00,1936.00,21133.00,20533.00,74.00,30.00,21.00,44.00,39.00,73.00,96.00,2.00,4.00,3.00,5.00,456.00,126.00,1178.00,1075.00,3375.00
Buchanan,7.40,2018.00,3781.00,3796.00,5339.00,1936.00,21140.00,20533.00,74.00,30.00,21.00,44.00,39.00,73.00,96.00,2.00,4.00,3.00,5.00,456.00,126.00,1178.00,1075.00,3375.00
Buchanan,7.40,2019.00,3781.00,3796.00,5339.00,1936.00,21148.00,20533.00,74.00,30.00,21.00,44.00,39.00,73.00,96.00,2.00,4.00,3.00,5.00,456.00,126.00,1178.00,1075.00,3375.00
Buchanan,7.40,2020.00,3781.00,3796.00,5339.00,1936.00,21287.00,20533.00,74.00,30.00,21.00,44.00,39.00,73.00,96.00,2.00,4.00,3.00,5.00,456.00,126.00,1178.00,1075.00,3375.00
Buena Vista,10.90,2016.00,3579.00,3496.00,4153.00,2599.00,20327.00,14718.00,455.00,450.00,68.00,12.00,14.00,2099.00,43.00,332.00,10.00,1482.00,444.00,857.00,289.00,960.00,870.00,2777.00
Buena Vista,10.90,2017.00,3579.00,3496.00,4153.00,2599.00,20154.00,14718.00,455.00,450.00,68.00,12.00,14.00,2099.00,43.00,332.00,10.00,1482.00,444.00,857.00,289.00,960.00,870.00,2777.00
Buena Vista,10.90,2018.00,3579.00,3496.00,4153.00,2599.00,19807.00,14718.00,455.00,450.00,68.00,12.00,14.00,2099.00,43.00,332.00,10.00,1482.00,444.00,857.00,289.00,960.00,870.00,2777.00
Buena Vista,10.90,2019.00,3579.00,3496.00,4153.00,2599.00,19690.00,14718.00,455.00,450.00,68.00,12.00,14.00,2099.00,43.00,332.00,10.00,1482.00,444.00,857.00,289.00,960.00,870.00,2777.00
Buena Vista,10.90,2020.00,3579.00,3496.00,4153.00,2599.00,19772.00,14718.00,455.00,450.00,68.00,12.00,14.00,2099.00,43.00,332.00,10.00,1482.00,444.00,857.00,289.00,960.00,870.00,2777.00
Butler,11.10,2016.00,2746.00,2429.00,4405.00,1206.00,14694.00,14100.00,67.00,122.00,58.00,25.00,14.00,82.00,59.00,12.00,16.00,29.00,23.00,138.00,87.00,617.00,924.00,2678.00
Butler,11.10,2017.00,2746.00,2429.00,4405.00,1206.00,14593.00,14100.00,67.00,122.00,58.00,25.00,14.00,82.00,59.00,12.00,16.00,29.00,23.00,138.00,87.00,617.00,924.00,2678.00
Butler,11.10,2018.00,2746.00,2429.00,4405.00,1206.00,14516.00,14100.00,67.00,122.00,58.00,25.00,14.00,82.00,59.00,12.00,16.00,29.00,23.00,138.00,87.00,617.00,924.00,2678.00
Butler,11.10,2019.00,2746.00,2429.00,4405.00,1206.00,14404.00,14100.00,67.00,122.00,58.00,25.00,14.00,82.00,59.00,12.00,16.00,29.00,23.00,138.00,87.00,617.00,924.00,2678.00
