"County","Year","Middle-Old","Middle-Young","Old","Young"
"Cedar",2014,4165,3301,4539,1496
"Cedar",2015,4165,3301,4539,1496
"Cedar",2016,3748,3256,5081,1686
"Cedar",2017,3748,3256,5081,1686
"Cedar",2018,3748,3256,5081,1686
"Cedar",2019,3748,3256,5081,1686
"Cedar",2020,3748,3256,5081,1686
"Cerro Gordo",2011,9788,7265,11480,4404
"Cerro Gordo",2012,9788,7265,11480,4404
"Cerro Gordo",2013,9788,7265,11480,4404
"Cerro Gordo",2014,9788,7265,11480,4404
"Cerro Gordo",2015,9788,7265,11480,4404
"Cerro Gordo",2016,8429,6931,12529,4446
"Cerro Gordo",2017,8429,6931,12529,4446
"Cerro Gordo",2018,8429,6931,12529,4446
"Cerro Gordo",2019,8429,6931,12529,4446
"Cerro Gordo",2020,8429,6931,12529,4446
"Cherokee",2011,2631,1801,3498,1155
"Cherokee",2012,2631,1801,3498,1155
"Cherokee",2013,2631,1801,3498,1155
"Cherokee",2014,2631,1801,3498,1155
"Cherokee",2015,2631,1801,3498,1155
"Cherokee",2016,2062,1850,3714,1086
"Cherokee",2017,2062,1850,3714,1086
"Cherokee",2018,2062,1850,3714,1086
"Cherokee",2019,2062,1850,3714,1086
"Cherokee",2020,2062,1850,3714,1086
"Chickasaw",2011,2736,1919,3239,991
"Chickasaw",2012,2736,1919,3239,991
"Chickasaw",2013,2736,1919,3239,991
"Chickasaw",2014,2736,1919,3239,991
"Chickasaw",2015,2736,1919,3239,991
"Chickasaw",2016,2309,1795,3490,1315
"Chickasaw",2017,2309,1795,3490,1315
"Chickasaw",2018,2309,1795,3490,1315
"Chickasaw",2019,2309,1795,3490,1315
"Chickasaw",2020,2309,1795,3490,1315
"Clarke",2011,1957,1462,2186,1146
"Clarke",2012,1957,1462,2186,1146
"Clarke",2013,1957,1462,2186,1146
"Clarke",2014,1957,1462,2186,1146
"Clarke",2015,1957,1462,2186,1146
"Clarke",2016,1850,1680,2378,870
"Clarke",2017,1850,1680,2378,870
"Clarke",2018,1850,1680,2378,870
"Clarke",2019,1850,1680,2378,870
"Clarke",2020,1850,1680,2378,870
"Clay",2011,3478,2839,4357,1723
"Clay",2012,3478,2839,4357,1723
"Clay",2013,3478,2839,4357,1723
"Clay",2014,3478,2839,4357,1723
"Clay",2015,3478,2839,4357,1723
"Clay",2016,2871,2756,4726,1677
"Clay",2017,2871,2756,4726,1677
"Clay",2018,2871,2756,4726,1677
"Clay",2019,2871,2756,4726,1677
"Clay",2020,2871,2756,4726,1677
"Clayton",2011,4001,2744,5002,1568
"Clayton",2012,4001,2744,5002,1568
"Clayton",2013,4001,2744,5002,1568
"Clayton",2014,4001,2744,5002,1568
"Clayton",2015,4001,2744,5002,1568
"Clayton",2016,3511,2625,5632,1578
"Clayton",2017,3511,2625,5632,1578
"Clayton",2018,3511,2625,5632,1578
"Clayton",2019,3511,2625,5632,1578
"Clayton",2020,3511,2625,5632,1578
"Clinton",2011,10740,8184,11724,5008
"Clinton",2012,10740,8184,11724,5008
"Clinton",2013,10740,8184,11724,5008
"Clinton",2014,10740,8184,11724,5008
"Clinton",2015,10740,8184,11724,5008
"Clinton",2016,9515,7981,12752,4459
"Clinton",2017,9515,7981,12752,4459
"Clinton",2018,9515,7981,12752,4459
"Clinton",2019,9515,7981,12752,4459
"Clinton",2020,9515,7981,12752,4459
"Crawford",2011,3625,2828,3881,1699
"Crawford",2012,3625,2828,3881,1699
"Crawford",2013,3625,2828,3881,1699
"Crawford",2014,3625,2828,3881,1699
"Crawford",2015,3625,2828,3881,1699
"Crawford",2016,3207,3036,3840,1719
"Crawford",2017,3207,3036,3840,1719
"Crawford",2018,3207,3036,3840,1719
"Crawford",2019,3207,3036,3840,1719
"Crawford",2020,3207,3036,3840,1719
"Dallas",2011,13680,17759,11956,8248
"Dallas",2012,13680,17759,11956,8248
"Dallas",2013,13680,17759,11956,8248
"Dallas",2014,13680,17759,11956,8248
"Dallas",2015,13680,17759,11956,8248
"Dallas",2016,15940,21870,15182,10102
"Dallas",2017,15940,21870,15182,10102
"Dallas",2018,15940,21870,15182,10102
"Dallas",2019,15940,21870,15182,10102
"Dallas",2020,15940,21870,15182,10102
"Davis",2011,1687,1385,2055,828
"Davis",2012,1687,1385,2055,828
"Davis",2013,1687,1385,2055,828
"Davis",2014,1687,1385,2055,828
"Davis",2015,1687,1385,2055,828
"Davis",2016,1522,1411,2192,891
"Davis",2017,1522,1411,2192,891
"Davis",2018,1522,1411,2192,891
"Davis",2019,1522,1411,2192,891
"Davis",2020,1522,1411,2192,891
"Decatur",2011,1420,1189,2078,974
"Decatur",2012,1420,1189,2078,974
"Decatur",2013,1420,1189,2078,974
"Decatur",2014,1420,1189,2078,974
"Decatur",2015,1420,1189,2078,974
"Decatur",2016,1232,1128,2109,1080
"Decatur",2017,1232,1128,2109,1080
"Decatur",2018,1232,1128,2109,1080
"Decatur",2019,1232,1128,2109,1080
"Decatur",2020,1232,1128,2109,1080
"Delaware",2011,3976,2888,4338,1408
"Delaware",2012,3976,2888,4338,1408
"Delaware",2013,3976,2888,4338,1408
"Delaware",2014,3976,2888,4338,1408
"Delaware",2015,3976,2888,4338,1408
"Delaware",2016,3641,2727,4650,1499
"Delaware",2017,3641,2727,4650,1499
"Delaware",2018,3641,2727,4650,1499
"Delaware",2019,3641,2727,4650,1499
"Delaware",2020,3641,2727,4650,1499
"Des Moines",2011,8557,7120,10192,3856
"Des Moines",2012,8557,7120,10192,3856
"Des Moines",2013,8557,7120,10192,3856
"Des Moines",2014,8557,7120,10192,3856
"Des Moines",2015,8557,7120,10192,3856
"Des Moines",2016,7306,6748,11144,3857
"Des Moines",2017,7306,6748,11144,3857
"Des Moines",2018,7306,6748,11144,3857
"Des Moines",2019,7306,6748,11144,3857
"Des Moines",2020,7306,6748,11144,3857
"Dickinson",2011,3563,2727,5545,1544
"Dickinson",2012,3563,2727,5545,1544
"Dickinson",2013,3563,2727,5545,1544
"Dickinson",2014,3563,2727,5545,1544
"Dickinson",2015,3563,2727,5545,1544
"Dickinson",2016,3269,2773,5992,1542
"Dickinson",2017,3269,2773,5992,1542
"Dickinson",2018,3269,2773,5992,1542
"Dickinson",2019,3269,2773,5992,1542
"Dickinson",2020,3269,2773,5992,1542
"Dubuque",2011,19869,16431,21284,11109
"Dubuque",2012,19869,16431,21284,11109
"Dubuque",2013,19869,16431,21284,11109
"Dubuque",2014,19869,16431,21284,11109
"Dubuque",2015,19869,16431,21284,11109
"Dubuque",2016,18162,16834,23895,11482
"Dubuque",2017,18162,16834,23895,11482
"Dubuque",2018,18162,16834,23895,11482
"Dubuque",2019,18162,16834,23895,11482
"Dubuque",2020,18162,16834,23895,11482
"Emmet",2011,2010,1608,2537,886
"Emmet",2012,2010,1608,2537,886
"Emmet",2013,2010,1608,2537,886
"Emmet",2014,2010,1608,2537,886
"Emmet",2015,2010,1608,2537,886
"Emmet",2016,1797,1460,2741,691
"Emmet",2017,1797,1460,2741,691
"Emmet",2018,1797,1460,2741,691
"Emmet",2019,1797,1460,2741,691
"Emmet",2020,1797,1460,2741,691
"Fayette",2011,4615,3054,5277,2188
"Fayette",2012,4615,3054,5277,2188
"Fayette",2013,4615,3054,5277,2188
"Fayette",2014,4615,3054,5277,2188
"Fayette",2015,4615,3054,5277,2188
"Fayette",2016,3793,2992,5749,2006
"Fayette",2017,3793,2992,5749,2006
"Fayette",2018,3793,2992,5749,2006
"Fayette",2019,3793,2992,5749,2006
"Fayette",2020,3793,2992,5749,2006
"Floyd",2011,3468,2644,4263,1430
"Floyd",2012,3468,2644,4263,1430
"Floyd",2013,3468,2644,4263,1430
"Floyd",2014,3468,2644,4263,1430
"Floyd",2015,3468,2644,4263,1430
"Floyd",2016,3280,2459,4402,1548
"Floyd",2017,3280,2459,4402,1548
"Floyd",2018,3280,2459,4402,1548
"Floyd",2019,3280,2459,4402,1548
"Floyd",2020,3280,2459,4402,1548
